sample,SRRid,AGE,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,gender,GEO_Accession (exp),infection,Instrument,LibraryLayout,LibrarySelection,LibrarySource,mouse_id,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,strain,time,condition,create_date,version
sample_1,SRR5364315,8 weeks,RNA-Seq,200,10716250400,PRJNA379959,SAMN06624258,3390851861,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2659760,female,GSM2545336,Influenza A,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,14,Mus musculus,ILLUMINA,2017-06-14T00:00:00Z,GSM2545336,"Cerebellum\, Day 8",SRP102241,C57BL/6,Day 8,Cerebellum,2017-03-21T14:32:00Z,1
sample_2,SRR5364316,8 weeks,RNA-Seq,200,9099898200,PRJNA379959,SAMN06624306,2903831980,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2659761,female,GSM2545337,Non-Infected,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,9,Mus musculus,ILLUMINA,2017-06-14T00:00:00Z,GSM2545337,"Cerebellum\, Day 0 (Non-Infected)",SRP102241,C57BL/6,Day 0,Cerebellum,2017-03-21T14:23:00Z,1
sample_3,SRR5364317,8 weeks,RNA-Seq,200,8572318400,PRJNA379959,SAMN06624254,2743664100,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2659762,female,GSM2545338,Non-Infected,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,10,Mus musculus,ILLUMINA,2017-06-14T00:00:00Z,GSM2545338,"Cerebellum\, Day 0 (Non-Infected)",SRP102241,C57BL/6,Day 0,Cerebellum,2017-03-21T14:46:00Z,1
sample_4,SRR5364318,8 weeks,RNA-Seq,200,8782741400,PRJNA379959,SAMN06624255,2804938564,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2659763,female,GSM2545339,Influenza A,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,15,Mus musculus,ILLUMINA,2017-06-14T00:00:00Z,GSM2545339,"Cerebellum\, Day 4",SRP102241,C57BL/6,Day 4,Cerebellum,2017-03-21T14:39:00Z,1
sample_5,SRR5364319,8 weeks,RNA-Seq,200,9181805600,PRJNA379959,SAMN06624256,2959755832,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2659764,male,GSM2545340,Influenza A,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,18,Mus musculus,ILLUMINA,2017-06-14T00:00:00Z,GSM2545340,"Cerebellum\, Day 4",SRP102241,C57BL/6,Day 4,Cerebellum,2017-03-21T14:34:00Z,1
sample_6,SRR5364320,8 weeks,RNA-Seq,200,8965487600,PRJNA379959,SAMN06624259,2904109285,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2659765,male,GSM2545341,Influenza A,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,6,Mus musculus,ILLUMINA,2017-06-14T00:00:00Z,GSM2545341,"Cerebellum\, Day 8",SRP102241,C57BL/6,Day 8,Cerebellum,2017-03-21T14:28:00Z,1
sample_7,SRR5364321,8 weeks,RNA-Seq,200,8622176000,PRJNA379959,SAMN06624257,2737435782,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2659766,female,GSM2545342,Influenza A,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,5,Mus musculus,ILLUMINA,2017-06-14T00:00:00Z,GSM2545342,"Cerebellum\, Day 8",SRP102241,C57BL/6,Day 8,Cerebellum,2017-03-21T14:28:00Z,1
sample_8,SRR5364322,8 weeks,RNA-Seq,200,10726463600,PRJNA379959,SAMN06624301,3428000455,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2659767,male,GSM2545343,Non-Infected,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,11,Mus musculus,ILLUMINA,2017-06-14T00:00:00Z,GSM2545343,"Cerebellum\, Day 0 (Non-Infected)",SRP102241,C57BL/6,Day 0,Cerebellum,2017-03-21T14:32:00Z,1
sample_9,SRR5364323,8 weeks,RNA-Seq,200,9144281800,PRJNA379959,SAMN06624261,2925703694,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2659768,female,GSM2545344,Influenza A,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,22,Mus musculus,ILLUMINA,2017-06-14T00:00:00Z,GSM2545344,"Cerebellum\, Day 4",SRP102241,C57BL/6,Day 4,Cerebellum,2017-03-21T14:28:00Z,1
sample_10,SRR5364324,8 weeks,RNA-Seq,200,9148518800,PRJNA379959,SAMN06624260,2944067444,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2659769,male,GSM2545345,Influenza A,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,13,Mus musculus,ILLUMINA,2017-06-14T00:00:00Z,GSM2545345,"Cerebellum\, Day 4",SRP102241,C57BL/6,Day 4,Cerebellum,2017-03-21T14:30:00Z,1
sample_11,SRR5364325,8 weeks,RNA-Seq,200,8908833600,PRJNA379959,SAMN06624262,2876659094,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2659770,male,GSM2545346,Influenza A,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,23,Mus musculus,ILLUMINA,2017-06-14T00:00:00Z,GSM2545346,"Cerebellum\, Day 8",SRP102241,C57BL/6,Day 8,Cerebellum,2017-03-21T14:33:00Z,1
