Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
SRR5364315_1 - illumina_universal_adapter	(1, 0.0)	(2, 1.8663244375103442e-06)	(3, 1.306427106257241e-05)	(4, 8.771724856298617e-05)	(5, 0.00010638049293808962)	(6, 0.0001269100617507034)	(7, 0.00014557330612580683)	(8, 0.00016610287493842063)	(9, 0.000173568172688462)	(10, 0.00021462731031368957)	(12, 0.0002808818278453068)	(14, 0.0003536684809082102)	(16, 0.00043205410728364466)	(18, 0.0005132392203153446)	(20, 0.0005869590355970032)	(22, 0.0006644114997536825)	(24, 0.0007409308016916067)	(26, 0.0008454449701921858)	(28, 0.0009760876808179099)	(30, 0.0011487226912876166)	(32, 0.0014445351146330063)	(34, 0.0018653912752915887)	(36, 0.002440219202044775)	(38, 0.003215677005830323)	(40, 0.004403592510305657)	(42, 0.005977837173345632)	(44, 0.008080251652201035)	(46, 0.010814416953153688)	(48, 0.014045024554484094)	(50, 0.018455149200321038)	(52, 0.02422489119888427)	(54, 0.031172283917516523)	(56, 0.039569810724094316)	(58, 0.050240520695559704)	(60, 0.06322360664510042)	(62, 0.07948209198247178)	(64, 0.10011804128802365)	(66, 0.12569695086632168)	(68, 0.15731901897327819)	(70, 0.19573917384386613)	(72, 0.2424290122970624)	(74, 0.3017753299232351)	(76, 0.3745087927396694)	(78, 0.46281206717603385)	(80, 0.5692989406070615)	(82, 0.6965887993807984)	(84, 0.8529765224597589)	(86, 1.0416507251454297)	(88, 1.2655825959423268)
SRR5364315_1 - polya	(1, 0.0037345151994581985)	(2, 0.009008748059862431)	(3, 0.011804502067252927)	(4, 0.014880204740269973)	(5, 0.01713845730965749)	(6, 0.018909599200854808)	(7, 0.020915897971178425)	(8, 0.02446378072688559)	(9, 0.02973241461397729)	(10, 0.03562720034985371)	(12, 0.039078034234810335)	(14, 0.04361040313130421)	(16, 0.04786375652439029)	(18, 0.05166265991694259)	(20, 0.05576390786837157)	(22, 0.05916621731795293)	(24, 0.06223538785543869)	(26, 0.06503860716057923)	(28, 0.06822628929984689)	(30, 0.07172191497130377)	(32, 0.07518954577619799)	(34, 0.07833150296674665)	(36, 0.08234783315626892)	(38, 0.08611687535782106)	(40, 0.0897524753620912)	(42, 0.09289723203929613)	(44, 0.095851623623875)	(46, 0.09907103327858036)	(48, 0.10268610371403789)	(50, 0.10618546203436979)	(52, 0.10870313370057125)	(54, 0.11151848411455559)	(56, 0.11443648237260301)	(58, 0.11742446779705706)	(60, 0.1206672065072313)	(62, 0.12381382950887374)	(64, 0.12791134481142769)	(66, 0.13174290888163642)	(68, 0.13472902798165298)	(70, 0.13760876658873145)	(72, 0.14065367490852956)	(74, 0.14348022326913898)	(76, 0.14643741434037413)	(78, 0.14934328148957773)	(80, 0.15229953939859414)	(82, 0.15528379217417315)	(84, 0.1581140731836576)	(86, 0.16101900717064244)	(88, 0.16393700542868989)
SRR5364315_2 - illumina_universal_adapter	(1, 1.8663244375103442e-06)	(2, 5.598973312531032e-06)	(3, 1.1197946625062064e-05)	(4, 7.838562637543445e-05)	(5, 8.958357300049651e-05)	(6, 0.00011571211512564134)	(7, 0.00012877638618821375)	(8, 0.00014557330612580683)	(9, 0.0001530386038758482)	(10, 0.0001903650926260551)	(12, 0.0002472879879701206)	(14, 0.0003266067765643102)	(16, 0.00041898983622107224)	(18, 0.0004955091381589963)	(20, 0.0005710952778781653)	(22, 0.0006653446619724377)	(24, 0.0007474629372228928)	(26, 0.0008585092412547583)	(28, 0.000991951438536748)	(30, 0.0011841828556003135)	(32, 0.001479995278945703)	(34, 0.0018943193040729992)	(36, 0.0024719467174824507)	(38, 0.003242738710174223)	(40, 0.004430654214649557)	(42, 0.006017029986533349)	(44, 0.008138107709763856)	(46, 0.010856409252997672)	(48, 0.01410381377426567)	(50, 0.0185475322599778)	(52, 0.024312608447447252)	(54, 0.031276798086017105)	(56, 0.039656594810438546)	(58, 0.05022559010005963)	(60, 0.06305097163463072)	(62, 0.07913028982600108)	(64, 0.09958613882333321)	(66, 0.12488976554709845)	(68, 0.15623095182620966)	(70, 0.1946744357522665)	(72, 0.24140533334308797)	(74, 0.3007843116469171)	(76, 0.37353363822107033)	(78, 0.4617454627599967)	(80, 0.5680578348561172)	(82, 0.6950910740196963)	(84, 0.8509991517182167)	(86, 1.039114390234853)	(88, 1.2622297440903396)
SRR5364315_2 - polya	(1, 0.014232590160453884)	(2, 0.021376880107243482)	(3, 0.02646074787502166)	(4, 0.030520003526606658)	(5, 0.033437068622435326)	(6, 0.035600138645509816)	(7, 0.03786585651264737)	(8, 0.04328193003030239)	(9, 0.04902274400008421)	(10, 0.05660002121637621)	(12, 0.0617585419616548)	(14, 0.06769158734850018)	(16, 0.07371701579500232)	(18, 0.08038166036135176)	(20, 0.08687460307945025)	(22, 0.09331715503773597)	(24, 0.09944336500386367)	(26, 0.10528309416883352)	(28, 0.11193467446412039)	(30, 0.11862451441037622)	(32, 0.12460608423259689)	(34, 0.13053912961944225)	(36, 0.13651976627944418)	(38, 0.14307243137954298)	(40, 0.14900827625304464)	(42, 0.15511115716370344)	(44, 0.1611076575814242)	(46, 0.16772564403683587)	(48, 0.17352711355083678)	(50, 0.17959826694605793)	(52, 0.18556397301055974)	(54, 0.1919449362624076)	(56, 0.1979171744624407)	(58, 0.20360106553687846)	(60, 0.209476254866161)	(62, 0.21524133105363047)	(64, 0.221513114325884)	(66, 0.2275478743945737)	(68, 0.2343459611582051)	(70, 0.24124762892811835)	(72, 0.2473337129188396)	(74, 0.25345059126277975)	(76, 0.259266058210062)	(78, 0.2649499492844998)	(80, 0.2707206244452817)	(82, 0.27746645412466286)	(84, 0.2838754122430734)	(86, 0.2901901209773896)	(88, 0.296252875912642)
SRR5364316_1 - illumina_universal_adapter	(1, 0.0)	(2, 6.593480353439558e-06)	(3, 1.0989133922399264e-05)	(4, 5.714349639647617e-05)	(5, 7.033045710335529e-05)	(6, 9.670437851711351e-05)	(7, 0.00010329785887055308)	(8, 0.00010989133922399264)	(9, 0.00011868264636191205)	(10, 0.00013516634724551095)	(12, 0.00016923266240494866)	(14, 0.0002032989775643864)	(16, 0.00023187072576262446)	(18, 0.0002714316078832618)	(20, 0.0003120914033961391)	(22, 0.0003626414194391757)	(24, 0.00040659795512877275)	(26, 0.0004692360184864486)	(28, 0.0005384675621975639)	(30, 0.0006439632478525968)	(32, 0.0008241850441799447)	(34, 0.0011077046993778457)	(36, 0.0015758418044720544)	(38, 0.0022593659344452887)	(40, 0.003236299940146583)	(42, 0.004580271018856013)	(44, 0.006215454146509023)	(46, 0.008274817843566646)	(48, 0.011133091576782694)	(50, 0.01463642747124358)	(52, 0.019291424600771906)	(54, 0.024967312271691126)	(56, 0.03210475475428945)	(58, 0.04067188356019191)	(60, 0.051384091307746724)	(62, 0.06492600104031933)	(64, 0.08165366069699549)	(66, 0.10289345874220879)	(68, 0.12883660610620898)	(70, 0.16020838562787437)	(72, 0.19955497963702495)	(74, 0.24947971395987706)	(76, 0.3116045847633768)	(78, 0.3873394979297681)	(80, 0.47821523981444103)	(82, 0.5884219671820066)	(84, 0.72519382689358)	(86, 0.8918077786848209)	(88, 1.0902572514492526)
SRR5364316_1 - polya	(1, 0.004318729631502911)	(2, 0.00940889646435825)	(3, 0.011529799311381308)	(4, 0.014446315454386072)	(5, 0.01645732696218514)	(6, 0.017934266561355598)	(7, 0.019659560587172283)	(8, 0.022901355094280065)	(9, 0.0281014132663594)	(10, 0.033315757312537844)	(12, 0.03671579534812818)	(14, 0.040800456427083985)	(16, 0.044901601206923394)	(18, 0.04846317951117299)	(20, 0.05297971355327909)	(22, 0.056486346187916696)	(24, 0.059889680963683745)	(26, 0.06285454929594707)	(28, 0.06631392865471836)	(30, 0.07001287113299795)	(32, 0.07348543745247611)	(34, 0.07671404499887702)	(36, 0.08044595487892381)	(38, 0.08437566916957379)	(40, 0.08823834974329714)	(42, 0.09148893555754284)	(44, 0.09442523214160792)	(46, 0.0975736190103753)	(48, 0.10143300284392193)	(50, 0.10501655941601631)	(52, 0.10765065481721542)	(54, 0.11037925677014716)	(56, 0.11337599359078544)	(58, 0.11648921523100116)	(60, 0.11987276956570789)	(62, 0.12316401517546646)	(64, 0.12730911649099547)	(66, 0.13133773298694704)	(68, 0.1343839209102361)	(70, 0.13721142506846945)	(72, 0.1404499228354005)	(74, 0.14332358135610793)	(76, 0.14639943994098747)	(78, 0.1493785941473499)	(80, 0.15253357449647073)	(82, 0.15569295049916054)	(84, 0.15866001665820834)	(86, 0.16161169802976477)	(88, 0.16474250228425633)
SRR5364316_2 - illumina_universal_adapter	(1, 0.0)	(2, 2.1978267844798528e-06)	(3, 8.791307137919411e-06)	(4, 4.17587089051172e-05)	(5, 5.494566961199632e-05)	(6, 8.35174178102344e-05)	(7, 9.011089816367396e-05)	(8, 9.230872494815382e-05)	(9, 9.670437851711351e-05)	(10, 0.00011648481957743218)	(12, 0.0001505511347368699)	(14, 0.00019340875703422703)	(16, 0.00023626637933158416)	(18, 0.0002692337810987819)	(20, 0.00031428923018061896)	(22, 0.0003670370730081354)	(24, 0.00042198274262013173)	(26, 0.00048791754615452735)	(28, 0.000568138223788042)	(30, 0.000687919783542194)	(32, 0.0008615480995161023)	(34, 0.0011461666681062432)	(36, 0.0016318863874762906)	(38, 0.002325300737979684)	(40, 0.0033154217043878578)	(42, 0.004672579743804167)	(44, 0.006325345485733016)	(46, 0.008370423308691519)	(48, 0.011263862270459245)	(50, 0.014788077519372689)	(52, 0.019485932271198374)	(54, 0.02523984279296663)	(56, 0.03238387875591839)	(58, 0.04087628145114854)	(60, 0.05150607069428535)	(62, 0.06493589126084949)	(64, 0.08156245088543958)	(66, 0.10253850971651529)	(68, 0.12824758852796836)	(70, 0.15973585286921121)	(72, 0.19911651319352122)	(74, 0.24918740299754122)	(76, 0.31138260425814435)	(78, 0.3870636706683158)	(80, 0.4779745777815405)	(82, 0.5881252605661017)	(84, 0.7245883256144559)	(86, 0.8908363392460807)	(88, 1.0889945999615689)
SRR5364316_2 - polya	(1, 0.014503458950782549)	(2, 0.021738704725290225)	(3, 0.026921180283093718)	(4, 0.031092655520036476)	(5, 0.03402895210410156)	(6, 0.03612348102971086)	(7, 0.03829493389277695)	(8, 0.04369059864867499)	(9, 0.049286265641960696)	(10, 0.05637755376208494)	(12, 0.06102266067108311)	(14, 0.06680843968122632)	(16, 0.07278103396805033)	(18, 0.0794547349991234)	(20, 0.0859284337928088)	(22, 0.0923713630115115)	(24, 0.09832857251084413)	(26, 0.10401435040229351)	(28, 0.11021991432827238)	(30, 0.11674306422460859)	(32, 0.1226881856766266)	(34, 0.12868165931790315)	(36, 0.1344938122494601)	(38, 0.1411378426189427)	(40, 0.14716428366198647)	(42, 0.15311380076757342)	(44, 0.1593743103631643)	(46, 0.16605460487459078)	(48, 0.17167115122232907)	(50, 0.177240444294201)	(52, 0.1829877613356158)	(54, 0.18911640132413787)	(56, 0.19491426838159576)	(58, 0.2005220234221961)	(60, 0.2066078057884208)	(62, 0.2125419381065164)	(64, 0.21875299659945646)	(66, 0.2247321843666339)	(68, 0.23149050172890945)	(70, 0.2382905778000901)	(72, 0.24424449055924602)	(74, 0.2501610402630658)	(76, 0.2559061594776961)	(78, 0.2615205079986499)	(80, 0.26738211203285767)	(82, 0.2739876804336119)	(84, 0.2800086269096944)	(86, 0.2860889147089579)	(88, 0.29188897959320026)
SRR5364317_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 6.999273382099293e-06)	(4, 6.0660369311527206e-05)	(5, 7.232582494835936e-05)	(6, 8.165818945782509e-05)	(7, 8.399128058519152e-05)	(8, 8.632437171255795e-05)	(9, 8.865746283992437e-05)	(10, 0.00010265600960412296)	(12, 0.00012365382975042084)	(14, 0.00014815128658776837)	(16, 0.00016098328778828372)	(18, 0.00017148219786143268)	(20, 0.0002029789280808795)	(22, 0.00022514329379086059)	(24, 0.0002694720252108228)	(26, 0.000313800756630785)	(28, 0.000373294580378629)	(30, 0.00044445385976330513)	(32, 0.000584439327405291)	(34, 0.0008375797147245487)	(36, 0.0011665455636832155)	(38, 0.0016576612459938494)	(40, 0.0023622547664585115)	(42, 0.003309489764169282)	(44, 0.004530862969345609)	(46, 0.006046205656570106)	(48, 0.008129656033308329)	(50, 0.010745051187086099)	(52, 0.014045208586745914)	(54, 0.018003297684323065)	(56, 0.022896956323974156)	(58, 0.02917997072997195)	(60, 0.03713347838316411)	(62, 0.04682047274398954)	(64, 0.05914852626099376)	(66, 0.074485100786737)	(68, 0.09309383561861165)	(70, 0.11596279484905742)	(72, 0.14447550151660254)	(74, 0.18046459870179343)	(76, 0.2252261185258821)	(78, 0.27998843346742697)	(80, 0.3465328586021723)	(82, 0.4280743935036291)	(84, 0.5296466822790904)	(86, 0.6547236976172046)	(88, 0.8034629231690694)
SRR5364317_1 - polya	(1, 0.004962484827908399)	(2, 0.009554008166565535)	(3, 0.012190401140489603)	(4, 0.014962113399800922)	(5, 0.017064228505558075)	(6, 0.018527076642416828)	(7, 0.020269895714559553)	(8, 0.0230882697964182)	(9, 0.02749547893601339)	(10, 0.03209750118474367)	(12, 0.0349240410855481)	(14, 0.038632489432497044)	(16, 0.04214145848805616)	(18, 0.04512198240326677)	(20, 0.04895525112552982)	(22, 0.05188561358150206)	(24, 0.054597832017065535)	(26, 0.05695425405570563)	(28, 0.059696802675924865)	(30, 0.06274498623382911)	(32, 0.0657418417869313)	(34, 0.06853338532082523)	(36, 0.07192220018332496)	(38, 0.07514419903021802)	(40, 0.07839536151620313)	(42, 0.08089876829586731)	(44, 0.08318403105512273)	(46, 0.08585892003264833)	(48, 0.0892045727092918)	(50, 0.09242540501062116)	(52, 0.0946756714029661)	(54, 0.09716624618142974)	(56, 0.09989829589157584)	(58, 0.10245653031273314)	(60, 0.10532389930826647)	(62, 0.10813410757117935)	(64, 0.11300093566286572)	(66, 0.11773361101472851)	(68, 0.12036650435196154)	(70, 0.12287341076831677)	(72, 0.12573261394490431)	(74, 0.12830251382169847)	(76, 0.1308922449730752)	(78, 0.13345397903092354)	(80, 0.13608687236815653)	(82, 0.13869526824855222)	(84, 0.14127450048985582)	(86, 0.14389572837145198)	(88, 0.14649479188733822)
