Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR5364315_1	(1, 0.06948325880851011)	(2, 0.00024822115018887573)	(3, 6.71876797503724e-05)	(4, 0.002575527723764275)	(5, 0.0017692755667598062)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 5.5989733125310326e-05)	(16, 5.598973312531033e-06)	(18, 0.00010731365515684478)	(20, 1.67969199375931e-05)	(22, 0.000515105544752855)	(24, 0.0013082934306947512)	(26, 0.0024868773129825333)	(28, 0.0040760525715225916)	(30, 0.008344336560108748)	(32, 0.007533418592010504)	(34, 0.006077685530752436)	(36, 0.004015397027303505)	(38, 0.004246821257554788)	(40, 0.006147672697159073)	(42, 0.009614370339834538)	(44, 0.005660562018968874)	(46, 0.004883237890745815)	(48, 0.0050474744412467255)	(50, 0.0052742328604042325)	(52, 0.0038548931256776157)	(54, 0.0018122010288225442)	(56, 0.003786772283708488)	(58, 0.0036094714621450054)	(60, 0.0034275048294877468)	(62, 0.006583459453317739)	(64, 0.0064808116092546705)	(66, 0.00610194774844007)	(68, 0.007094832349195573)	(70, 0.007650997031573656)	(72, 0.005595240663656012)	(74, 0.002614720536951992)	(76, 0.0018103347043850338)	(78, 0.0003546016431269654)	(80, 0.0005188381936278757)	(82, 0.00014184065725078614)	(84, 6.438819309410687e-05)	(86, 6.812084196912756e-05)	(88, 0.0002696838812202447)	(90, 0.0001502391172195827)	(92, 0.00016890236159468612)	(94, 0.0004899101648464653)	(96, 0.0005542983579405722)	(98, 0.0008155837791920203)	(100, 0.0012616353197569927)
SRR5364315_2	(1, 0.01329569529282369)	(2, 0.028377463072344785)	(3, 0.03208958237855286)	(4, 0.03537991236188359)	(5, 0.0376717587711463)	(6, 0.01853820063779025)	(7, 0.01832543965191407)	(8, 0.01231774128756827)	(9, 0.014926862851207732)	(10, 0.012980286462884441)	(12, 0.012577160384382209)	(14, 0.01119887978728082)	(16, 0.009424938409427238)	(18, 0.008852909969330318)	(20, 0.0056661609922814046)	(22, 0.006283914381097329)	(24, 0.004858042510839426)	(26, 0.005293829266998091)	(28, 0.006286713867753595)	(30, 0.0039566078075219295)	(32, 0.004241222284242257)	(34, 0.0032614019545493264)	(36, 0.259220333261343)	(38, 0.0012700337797257892)	(40, 0.001182316531162803)	(42, 0.0012616353197569927)	(44, 0.0007222675573165031)	(46, 0.0013325556483823858)	(48, 0.00206042217901142)	(50, 0.0025941909681393783)	(52, 0.004519304625431298)	(54, 0.005539250930530702)	(56, 0.006599323211036576)	(58, 0.008934095082362018)	(60, 0.00878852177623621)	(62, 0.0077433800912304175)	(64, 0.008735331529767165)	(66, 0.012704070446132911)	(68, 0.5309618371739429)	(70, 0.01204152527081674)	(72, 0.01369975453354468)	(74, 0.012223491903473998)	(76, 0.007761110173386766)	(78, 0.006154204832690359)	(80, 0.005389944975529874)	(82, 0.002179866943012082)	(84, 0.0012942959974134235)	(86, 0.0014081417881015546)	(88, 0.0015331855254147478)	(90, 0.0021024144788554027)	(92, 0.001540650823164789)	(94, 0.003949142509771888)	(96, 0.003507756780300692)	(98, 0.0025951241303581334)	(100, 0.0041189780335853295)
SRR5364316_1	(1, 0.0672842691800662)	(2, 0.00028791530876686074)	(3, 6.373697674991573e-05)	(4, 0.0027538769609532555)	(5, 0.0018066136168424388)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 6.0440236573195947e-05)	(16, 6.593480353439559e-06)	(18, 0.0001131880794007124)	(20, 1.9780441060318673e-05)	(22, 0.0005120936407838057)	(24, 0.0012340797394854374)	(26, 0.002475851872716554)	(28, 0.004195651331572039)	(30, 0.008448446159540553)	(32, 0.007738548108153561)	(34, 0.006092375846578152)	(36, 0.004140705661960042)	(38, 0.004342905726132189)	(40, 0.006344027013401095)	(42, 0.009910000971219657)	(44, 0.005826438805656089)	(46, 0.004883571115114233)	(48, 0.005187970124764692)	(50, 0.005396763669290278)	(52, 0.004084661078955806)	(54, 0.0018747462471613145)	(56, 0.003942901251356856)	(58, 0.003616523973861598)	(60, 0.003406631515943772)	(62, 0.006466006399939727)	(64, 0.006441830305310448)	(66, 0.006150618256366868)	(68, 0.007127552262068162)	(70, 0.007787999210804358)	(72, 0.0057517126949837745)	(74, 0.002745085653815336)	(76, 0.0019219995230276314)	(78, 0.00035275119890901637)	(80, 0.0005340719086286042)	(82, 0.0001461554811679102)	(84, 9.670437851711353e-05)	(86, 8.241850441799448e-05)	(88, 0.00028791530876686074)	(90, 0.0001450565677756703)	(92, 0.00018132070971958785)	(94, 0.000568138223788042)	(96, 0.0006681393424818752)	(98, 0.0008560535325549027)	(100, 0.0013362786849637504)
SRR5364316_2	(1, 0.012738604042845226)	(2, 0.026464032311921907)	(3, 0.02991022470998632)	(4, 0.03266629949772405)	(5, 0.034921269778600376)	(6, 0.017134257611804933)	(7, 0.016644142238865928)	(8, 0.011110014395545655)	(9, 0.013338610755008227)	(10, 0.011823209187109367)	(12, 0.011590239547954503)	(14, 0.010466051147693058)	(16, 0.008716581027247096)	(18, 0.008283609150704566)	(20, 0.005260498408652527)	(22, 0.005942923625233521)	(24, 0.004564886231364654)	(26, 0.00492532982401935)	(28, 0.005807757277988011)	(30, 0.0037011403050640724)	(32, 0.0039000436290594987)	(34, 0.0029758574661857204)	(36, 0.2564391324729325)	(38, 0.0012285851725242377)	(40, 0.0012461677868000765)	(42, 0.0011824308100501608)	(44, 0.0007890198156282671)	(46, 0.0013450699921016699)	(48, 0.002041781082781783)	(50, 0.0025879410387250265)	(52, 0.004601150373308572)	(54, 0.005541820237065949)	(56, 0.006662711897150673)	(58, 0.009318785566194575)	(60, 0.008856143028061567)	(62, 0.0077627242027828395)	(64, 0.008768229956682373)	(66, 0.013051794359633604)	(68, 0.529627902870386)	(70, 0.012125410369975347)	(72, 0.01402103597158922)	(74, 0.01242321589927237)	(76, 0.007723163320662203)	(78, 0.006074793232302313)	(80, 0.005493468047807392)	(82, 0.002156068075574736)	(84, 0.0011978155975415196)	(86, 0.0012912232358819136)	(88, 0.0015033135205842194)	(90, 0.001953868011402589)	(92, 0.0013989167483214264)	(94, 0.0038286142585639035)	(96, 0.003442895657887689)	(98, 0.0025406877628587096)	(100, 0.003890153408529339)
SRR5364317_1	(1, 0.06841323112776586)	(2, 0.0002473076595008417)	(3, 5.1328004802061486e-05)	(4, 0.0019387987268415043)	(5, 0.0012085412039758113)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 4.666182254732862e-05)	(16, 0.0)	(18, 0.0001049891007314894)	(20, 1.7498183455248233e-05)	(22, 0.0005191127758390309)	(24, 0.0011548801080463833)	(26, 0.002273597303618587)	(28, 0.00393592473186717)	(30, 0.007822854550059643)	(32, 0.007182421035597558)	(34, 0.005828061636161345)	(36, 0.003913760366157188)	(38, 0.003947590187504001)	(40, 0.00584089363736186)	(42, 0.00924720668331685)	(44, 0.005387107413089089)	(46, 0.00454952769836454)	(48, 0.004942653553325784)	(50, 0.005059308109694106)	(52, 0.0037387785316047055)	(54, 0.0017101557963595938)	(56, 0.003559130514797491)	(58, 0.003480971962030715)	(60, 0.003443642503992852)	(62, 0.006732134448015836)	(64, 0.006659808623067477)	(66, 0.006256183858033085)	(68, 0.007327072685494276)	(70, 0.007836853096823842)	(72, 0.005745236901139836)	(74, 0.0027192177089455753)	(76, 0.0019527972736057028)	(78, 0.00036396221586916327)	(80, 0.0005529425971858442)	(82, 0.0001504843777151348)	(84, 9.449019065834045e-05)	(86, 8.049164389414188e-05)	(88, 0.0002636392973924067)	(90, 0.00011665455636832154)	(92, 0.00015748365109723408)	(94, 0.0005681076895137259)	(96, 0.0006567651523536503)	(98, 0.0008737426271987283)	(100, 0.001304197940197835)
SRR5364317_2	(1, 0.011429813432968146)	(2, 0.02430381027377611)	(3, 0.02742315311106503)	(4, 0.03001288426244177)	(5, 0.032080003001288424)	(6, 0.01572736728957711)	(7, 0.015351739618071117)	(8, 0.009959966022727293)	(9, 0.012202066596126434)	(10, 0.010745051187086097)	(12, 0.01035425842325222)	(14, 0.009583171805657615)	(16, 0.00789401382944432)	(18, 0.007573213799431436)	(20, 0.0046988455305159915)	(22, 0.005458266692473765)	(24, 0.0040409138325986586)	(26, 0.00442237423192307)	(28, 0.005206292850718191)	(30, 0.0032919915807140343)	(32, 0.0035288003301417272)	(34, 0.002625894063850918)	(36, 0.2553439918890554)	(38, 0.0009985630025128324)	(40, 0.0009787317279302177)	(42, 0.000991563729130733)	(44, 0.000606603693115272)	(46, 0.0011490473802279672)	(48, 0.001942298363532554)	(50, 0.0024765762316994668)	(52, 0.004339549496901561)	(54, 0.00522029139748239)	(56, 0.006249184584650985)	(58, 0.008735093180859917)	(60, 0.008417792787538084)	(62, 0.007472890880954679)	(64, 0.008361798600481288)	(66, 0.012154238228015422)	(68, 0.5272435984179029)	(70, 0.011469475982133374)	(72, 0.013087474678961996)	(74, 0.011870767656040402)	(76, 0.007370234871350556)	(78, 0.005651913256045179)	(80, 0.0051153022967509)	(82, 0.001893303449857859)	(84, 0.001027726641604913)	(86, 0.0011105513766264212)	(88, 0.001256369572086823)	(90, 0.0017159885241780101)	(92, 0.0012318721152494755)	(94, 0.003456474505193368)	(96, 0.0031088439272157695)	(98, 0.0023995842244963744)	(100, 0.0034459755951202187)
SRR5364318_1	(1, 0.060819279046517294)	(2, 0.0004281123431460706)	(3, 3.643509303370813e-05)	(4, 0.002454814393146085)	(5, 0.001628193219943832)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 6.717720278089937e-05)	(16, 1.138596657303379e-06)	(18, 0.00010930527910112438)	(20, 1.8217546516854065e-05)	(22, 0.0005078141091573071)	(24, 0.0012399317598033798)	(26, 0.002504912646067434)	(28, 0.004188897102219132)	(30, 0.00837665560778096)	(32, 0.0076957748067135396)	(34, 0.006150699142752854)	(36, 0.003998751460449468)	(38, 0.004204837455421379)	(40, 0.006027730703764089)	(42, 0.009793069849466363)	(44, 0.005671349950028131)	(46, 0.0048219568436798105)	(48, 0.0049733901991011594)	(50, 0.005262593750056218)	(52, 0.0038826146014045225)	(54, 0.001810368685112373)	(56, 0.003818853188595534)	(58, 0.0034852443680056435)	(60, 0.003257525036544968)	(62, 0.00639208163410117)	(64, 0.006286192144971957)	(66, 0.0059161482313483576)	(68, 0.006955686979466343)	(70, 0.007603548477471966)	(72, 0.005584816604073074)	(74, 0.002664316178089907)	(76, 0.0017750721887359682)	(78, 0.0003142526774157326)	(80, 0.0004998439325561835)	(82, 0.00014460177547752915)	(84, 0.00011499826238764129)	(86, 6.03456228370791e-05)	(88, 0.00027895618103932786)	(90, 0.00014346317882022575)	(92, 0.0001901456417696643)	(94, 0.0005214772690449477)	(96, 0.0006216737748876449)	(98, 0.0008209281899157363)	(100, 0.0013139405425280995)
SRR5364318_2	(1, 0.012383377244831552)	(2, 0.025975944139719293)	(3, 0.029487376230842913)	(4, 0.03220634504848338)	(5, 0.03469076295471935)	(6, 0.017044791959831586)	(7, 0.016530146270730458)	(8, 0.011135475308427047)	(9, 0.013362570370112455)	(10, 0.011824326286095591)	(12, 0.01142923324601132)	(14, 0.010370338354719177)	(16, 0.008607790729213546)	(18, 0.008250271378820286)	(20, 0.005260316556741611)	(22, 0.0059309499878933015)	(24, 0.00455552522587082)	(26, 0.004924430542837114)	(28, 0.005663379773427008)	(30, 0.0036696970264887907)	(32, 0.003997612863792164)	(34, 0.003066240798118)	(36, 0.25748566387255806)	(38, 0.0011636457837640535)	(40, 0.001120379110786525)	(42, 0.0011761703469943905)	(44, 0.0007047913308707917)	(46, 0.0013139405425280995)	(48, 0.0020289792433146217)	(50, 0.0025686740588764232)	(52, 0.004432556786882055)	(54, 0.005373037625814646)	(56, 0.006404606197331507)	(58, 0.008901548666797817)	(60, 0.008582741602752872)	(62, 0.007520430921488818)	(64, 0.008501901240084332)	(66, 0.012597433416404584)	(68, 0.530395896661605)	(70, 0.01177992101646076)	(72, 0.013449103716067513)	(74, 0.012122638610309077)	(76, 0.0076399835705056734)	(78, 0.006035700880365213)	(80, 0.005437937635280938)	(82, 0.00207224591629215)	(84, 0.0011852791202528177)	(86, 0.0012683966762359643)	(88, 0.001357207215505628)	(90, 0.001888931854466306)	(92, 0.0013788405519943921)	(94, 0.0038086058186798033)	(96, 0.003378216282219126)	(98, 0.0025720898488483333)	(100, 0.0039213268877528375)
SRR5364334_1	(1, 0.061883113847772044)	(2, 0.00038414921301031384)	(3, 7.572171987222532e-05)	(4, 0.00302148131002343)	(5, 0.0020241708531697307)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 6.187018574925729e-05)	(16, 1.8468712163957398e-06)	(18, 0.00010342478811816142)	(20, 1.6621840947561657e-05)	(22, 0.0005706832058662835)	(24, 0.0012604896051900923)	(26, 0.002488658964093259)	(28, 0.004022485509309921)	(30, 0.008278600227493903)	(32, 0.007461359714238788)	(34, 0.005994943968420571)	(36, 0.0039476872250458934)	(38, 0.004161000850539602)	(40, 0.005907217585641773)	(42, 0.009469832162069156)	(44, 0.005407638921606725)	(46, 0.00468643571160419)	(48, 0.004873893140068357)	(50, 0.0051767800195572575)	(52, 0.0037713110238801)	(54, 0.001757297962400546)	(56, 0.003729756421511196)	(58, 0.0035432224286552263)	(60, 0.0033437603372844862)	(62, 0.0065804021440180206)	(64, 0.006508374166578586)	(66, 0.006271974650879932)	(68, 0.007281289770640203)	(70, 0.007836274571167123)	(72, 0.005827802123336757)	(74, 0.0028534160293314176)	(76, 0.0019336741635663393)	(78, 0.00033151338334303523)	(80, 0.0005051192776842348)	(82, 0.00014774969731165918)	(84, 8.587951156240189e-05)	(86, 6.002331453286154e-05)	(88, 0.000290882216582329)	(90, 0.00010896540176734864)	(92, 0.0001652949738674187)	(94, 0.0005217411186317964)	(96, 0.0006713376871598513)	(98, 0.0008560248087994253)	(100, 0.0014128564805427407)
SRR5364334_2	(1, 0.012531021203245092)	(2, 0.026774092024089036)	(3, 0.029871295053984694)	(4, 0.0329020107200901)	(5, 0.03532141201356852)	(6, 0.01747694232075288)	(7, 0.01724054280505423)	(8, 0.01160019811018164)	(9, 0.013936490198922251)	(10, 0.012236445244229972)	(12, 0.011763646212832664)	(14, 0.010497615993993384)	(16, 0.008896378649378277)	(18, 0.008377407837571075)	(20, 0.005342074993424677)	(22, 0.006054043847345234)	(24, 0.004675354484305815)	(26, 0.004963466394063551)	(28, 0.005818567767254777)	(30, 0.0035884707734569225)	(32, 0.003941223175788508)	(34, 0.0030150172607660447)	(36, 0.25978275216944113)	(38, 0.0011930788057916478)	(40, 0.0011662991731539096)	(42, 0.0011145867790948289)	(44, 0.0007415187933828895)	(46, 0.001319589484114756)	(48, 0.002120208156422309)	(50, 0.0026225571272819504)	(52, 0.004503595461181011)	(54, 0.005526762115064251)	(56, 0.006691214417001764)	(58, 0.009052439267163717)	(60, 0.008889914600120893)	(62, 0.007783638741499844)	(64, 0.008864058403091351)	(66, 0.012814515934961837)	(68, 0.5278930466536106)	(70, 0.012058222171847785)	(72, 0.013846916944927056)	(74, 0.012364802793769477)	(76, 0.007752241930821116)	(78, 0.006197176366615905)	(80, 0.0054639684937067955)	(82, 0.0021571455807502236)	(84, 0.0012023131618736265)	(86, 0.0012521786847163115)	(88, 0.00140454556006896)	(90, 0.001865339928559697)	(92, 0.0014137799161509387)	(94, 0.0038405686944949407)	(96, 0.0033419134660680905)	(98, 0.002575461911263859)	(100, 0.003843339001319534)
