Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR5364315_1	(1, 29.929111772154933)	(2, 31.83513078417802)	(3, 32.5046992556277)	(4, 32.66834270688561)	(5, 32.7790715677939)	(6, 36.53453205983317)	(7, 36.68710956959348)	(8, 36.71406450151631)	(9, 36.74596231905891)	(10, 36.757623123476094)	(12, 36.7427027834288)	(14, 36.74440874393902)	(16, 36.74196258982526)	(18, 36.75156335465995)	(20, 36.72434664273989)	(22, 36.73321933574826)	(24, 36.70791353475652)	(26, 36.6961913935867)	(28, 36.68539186990256)	(30, 36.69109536671521)	(32, 36.67454818898222)	(34, 36.66556807967085)	(36, 36.658621414818754)	(38, 36.65612866791541)	(40, 36.647324347702806)	(42, 36.63803487645268)	(44, 36.60845229036455)	(46, 36.6157744690251)	(48, 36.60320132123826)	(50, 36.582386428745636)	(52, 36.54845140610003)	(54, 36.52201373532668)	(56, 36.504610773186116)	(58, 36.493734823516256)	(60, 36.453179546831045)	(62, 36.447943816243786)	(64, 36.42726515610348)	(66, 36.41203917743468)	(68, 36.37603676188828)	(70, 36.368792567594355)	(72, 36.340740619498774)	(74, 36.325499747560954)	(76, 36.299963959408785)	(78, 36.28397615643621)	(80, 36.24800207169478)	(82, 36.23138644651304)	(84, 36.202096798708624)	(86, 36.17729082739612)	(88, 36.13388026095396)	(90, 36.09142838804887)	(92, 36.05866100329272)	(94, 36.00982098178669)	(96, 35.9171550713298)	(98, 35.78856713725166)	(100, 35.600812911202596)
SRR5364315_2	(1, 32.55693812455148)	(2, 32.59653079774993)	(3, 32.59246310631189)	(4, 32.56751003130722)	(5, 32.595201041588204)	(6, 36.374830080491584)	(7, 36.3919860999142)	(8, 36.39827718098114)	(9, 36.383531202294414)	(10, 36.38266067392378)	(12, 36.35547228347706)	(14, 36.347887121040024)	(16, 36.343726663945816)	(18, 36.3150577089912)	(20, 36.333074915830636)	(22, 36.313397221475896)	(24, 36.30980263395114)	(26, 36.316078205862006)	(28, 36.292472551779866)	(30, 36.304782211882625)	(32, 36.312463434038456)	(34, 36.30798267834429)	(36, 36.06025202621245)	(38, 36.23412386855014)	(40, 36.27465323132054)	(42, 36.25834235825621)	(44, 36.254799253291054)	(46, 36.23812771302917)	(48, 36.2159417532834)	(50, 36.2033753056013)	(52, 36.18752137408062)	(54, 36.168172348790954)	(56, 36.142287660616816)	(58, 36.12408126446915)	(60, 36.08990518735919)	(62, 36.07261372877215)	(64, 36.058189579071424)	(66, 36.03339791313573)	(68, 35.72306755728664)	(70, 35.91205823260718)	(72, 35.95890581280183)	(74, 35.935261563130325)	(76, 35.89068435728228)	(78, 35.846085875335646)	(80, 35.83340453672116)	(82, 35.800849586344114)	(84, 35.75661847169977)	(86, 35.70558117977534)	(88, 35.64192115182378)	(90, 35.58004853078088)	(92, 35.51331840846123)	(94, 35.43917943537415)	(96, 35.33134571024955)	(98, 35.13547686418376)	(100, 34.878227686803584)
SRR5364316_1	(1, 26.898251916708254)	(2, 32.09005689755958)	(3, 32.18017997168364)	(4, 32.54808039500925)	(5, 32.77955078662308)	(6, 36.52227061177454)	(7, 36.633652605036836)	(8, 36.637101588674916)	(9, 36.6934138669815)	(10, 36.678966969103016)	(12, 36.70549977141503)	(14, 36.695688650670846)	(16, 36.69306308283757)	(18, 36.70802371173779)	(20, 36.680648086810464)	(22, 36.68685469470417)	(24, 36.66073392996858)	(26, 36.64926528518748)	(28, 36.641717541411616)	(30, 36.652244186643756)	(32, 36.63753102205033)	(34, 36.62852008608184)	(36, 36.62140850103137)	(38, 36.61501202288175)	(40, 36.60616901186873)	(42, 36.59180138960235)	(44, 36.560699118590136)	(46, 36.570754022281264)	(48, 36.55536336659239)	(50, 36.5263616245729)	(52, 36.48163301431218)	(54, 36.44749037961765)	(56, 36.42451940835997)	(58, 36.40908352139587)	(60, 36.36424511869814)	(62, 36.35669906724891)	(64, 36.33267533696146)	(66, 36.314512738175466)	(68, 36.272906525481794)	(70, 36.263264373660796)	(72, 36.231753295877525)	(74, 36.212331056626546)	(76, 36.18359732859429)	(78, 36.16369234767923)	(80, 36.12205913468351)	(82, 36.10143206876754)	(84, 36.06787745164006)	(86, 36.0372538343341)	(88, 35.9874089360692)	(90, 35.93894066858901)	(92, 35.89850879870282)	(94, 35.84108000241146)	(96, 35.733295862584484)	(98, 35.578703748576004)	(100, 35.34845774428553)
SRR5364316_2	(1, 32.617930780808074)	(2, 32.66118486907909)	(3, 32.66004452665196)	(4, 32.63664490224737)	(5, 32.66296891101485)	(6, 36.46966751781905)	(7, 36.48661188319667)	(8, 36.49817133119137)	(9, 36.48177884011933)	(10, 36.47733876847106)	(12, 36.450415258491574)	(14, 36.44626793737099)	(16, 36.44528605825502)	(18, 36.416595176855935)	(20, 36.43713953855)	(22, 36.41790859814234)	(24, 36.41592392758855)	(26, 36.424241658000085)	(28, 36.40227281883219)	(30, 36.413738386655794)	(32, 36.42146942918548)	(34, 36.418083259436905)	(36, 36.171466258820345)	(38, 36.346588151942186)	(40, 36.38764923765851)	(42, 36.37283622579426)	(44, 36.37019484459727)	(46, 36.356050499553945)	(48, 36.33566867813972)	(50, 36.3238614691316)	(52, 36.3091015018168)	(54, 36.2926880324881)	(56, 36.26919297844453)	(58, 36.25357761694521)	(60, 36.22066373226021)	(62, 36.20472787267005)	(64, 36.192184908178426)	(66, 36.17149710531927)	(68, 35.863389537698346)	(70, 36.05687955937793)	(72, 36.10449582831597)	(74, 36.084446395235496)	(76, 36.04264829028527)	(78, 36.00334300443053)	(80, 35.995779403334424)	(82, 35.96711514860682)	(84, 35.92651087019853)	(86, 35.881828623093824)	(88, 35.82620741845221)	(90, 35.77361446746734)	(92, 35.71488209615356)	(94, 35.65002257937347)	(96, 35.558430807500685)	(98, 35.38605026372713)	(100, 35.16131446393543)
SRR5364317_1	(1, 26.410807139408167)	(2, 31.182046901104375)	(3, 31.908752899332345)	(4, 32.57896661887874)	(5, 32.693181531847905)	(6, 36.360694908392574)	(7, 36.60151820772313)	(8, 36.66615372102837)	(9, 36.720780413382684)	(10, 36.73007507513953)	(12, 36.70926797352744)	(14, 36.704870656694226)	(16, 36.713688329635545)	(18, 36.727199178695926)	(20, 36.70369901332643)	(22, 36.715495437033695)	(24, 36.69155548398669)	(26, 36.678927978223484)	(28, 36.66779433904368)	(30, 36.672943132863566)	(32, 36.654899577691836)	(34, 36.644281633309376)	(36, 36.63743128113393)	(38, 36.633912804732034)	(40, 36.62582113142227)	(42, 36.613685814563304)	(44, 36.58235404555202)	(46, 36.590547674944034)	(48, 36.576006777816374)	(50, 36.550676010821064)	(52, 36.50934125358666)	(54, 36.477431507910396)	(56, 36.45635935548078)	(58, 36.44276019892121)	(60, 36.39944425069419)	(62, 36.39204830515861)	(64, 36.36923944635561)	(66, 36.35231361681573)	(68, 36.31280801469063)	(70, 36.30349592474306)	(72, 36.27232781040891)	(74, 36.25535605397019)	(76, 36.22610099270228)	(78, 36.20746673385347)	(80, 36.16836920103201)	(82, 36.14801249099661)	(84, 36.11616313738416)	(86, 36.08772826263663)	(88, 36.039069559058845)	(90, 35.99273778724785)	(92, 35.95494616718857)	(94, 35.900341767519976)	(96, 35.797319369285205)	(98, 35.65052097224947)	(100, 35.43241674270988)
SRR5364317_2	(1, 32.586725990019225)	(2, 32.62270920781477)	(3, 32.62215946155243)	(4, 32.601204663606524)	(5, 32.624528762254094)	(6, 36.41781544185293)	(7, 36.44008167032153)	(8, 36.446961349452444)	(9, 36.43140331791689)	(10, 36.42393101030872)	(12, 36.399481848457704)	(14, 36.3943368459109)	(16, 36.39147858763622)	(18, 36.364872541365244)	(20, 36.382545543338665)	(22, 36.36298368245398)	(24, 36.35953217743288)	(26, 36.36621083743226)	(28, 36.34250616496)	(30, 36.35130919775448)	(32, 36.358863968468555)	(34, 36.35416282484327)	(36, 36.109605786457955)	(38, 36.283825866757354)	(40, 36.32344360890748)	(42, 36.307449312662015)	(44, 36.30531791726261)	(46, 36.290442303216366)	(48, 36.26782910910075)	(50, 36.25596658892185)	(52, 36.23961311329733)	(54, 36.22226245119407)	(56, 36.19710881247715)	(58, 36.18038813164009)	(60, 36.14684930508414)	(62, 36.12860970026499)	(64, 36.11611583396156)	(66, 36.09299785224963)	(68, 35.78540629102157)	(70, 35.97585711468673)	(72, 36.02163953686088)	(74, 35.99938824017549)	(76, 35.95626009411876)	(78, 35.91225244269975)	(80, 35.90190078567311)	(82, 35.87074742814033)	(84, 35.82715534691292)	(86, 35.77912102518264)	(88, 35.71799759560961)	(90, 35.66065021569894)	(92, 35.597925457365186)	(94, 35.52582554563069)	(96, 35.42518196710939)	(98, 35.23786981594151)	(100, 34.988816934284664)
SRR5364318_1	(1, 30.233505474725693)	(2, 27.594894892385195)	(3, 30.683874399398803)	(4, 32.43231344600446)	(5, 32.6876080627855)	(6, 36.11346910430495)	(7, 36.31640617358949)	(8, 36.44012868237245)	(9, 36.590566198385396)	(10, 36.59775231455636)	(12, 36.649095554606674)	(14, 36.62158078569864)	(16, 36.6399241585321)	(18, 36.677166812630965)	(20, 36.67214982556585)	(22, 36.69722999017141)	(24, 36.680663966720005)	(26, 36.67732765079477)	(28, 36.66495258530554)	(30, 36.66908509910129)	(32, 36.65248445092554)	(34, 36.64109235870249)	(36, 36.637134403160275)	(38, 36.63904757573757)	(40, 36.63032534465833)	(42, 36.62167435557194)	(44, 36.58571436476542)	(46, 36.59380988947255)	(48, 36.581937662425084)	(50, 36.56209232119711)	(52, 36.524999688593816)	(54, 36.496464099466706)	(56, 36.47652445966359)	(58, 36.462312359555526)	(60, 36.418780860381474)	(62, 36.412274201765754)	(64, 36.389641131868004)	(66, 36.372214830326214)	(68, 36.333854996573166)	(70, 36.32479304240928)	(72, 36.293843537280964)	(74, 36.27719944025677)	(76, 36.24958360950944)	(78, 36.23101550046777)	(80, 36.191450188889775)	(82, 36.17155786916372)	(84, 36.13947186239595)	(86, 36.111857967262935)	(88, 36.06493674059446)	(90, 36.018593237869894)	(92, 35.98148361740447)	(94, 35.926970125751396)	(96, 35.82592106150365)	(98, 35.68182166902922)	(100, 35.46727790482366)
SRR5364318_2	(1, 32.601433989619686)	(2, 32.64435302626581)	(3, 32.64720887717359)	(4, 32.62768702264193)	(5, 32.652499116050485)	(6, 36.45833648250192)	(7, 36.47652030378578)	(8, 36.48621274446268)	(9, 36.47311548988565)	(10, 36.46631870545568)	(12, 36.44217615242549)	(14, 36.43903778152912)	(16, 36.43715732083379)	(18, 36.411323610188504)	(20, 36.42998945636724)	(22, 36.41107187785353)	(24, 36.40823753503661)	(26, 36.41629963054588)	(28, 36.39301585265849)	(30, 36.40208257754236)	(32, 36.40895633110637)	(34, 36.40617364641979)	(36, 36.15867179010873)	(38, 36.33453899712907)	(40, 36.375171173774966)	(42, 36.36013435395012)	(44, 36.35775499435746)	(46, 36.34297039646414)	(48, 36.321884952686865)	(50, 36.31035085468872)	(52, 36.29548580355559)	(54, 36.279249665713714)	(56, 36.255522757393265)	(58, 36.23961921502095)	(60, 36.207540916552546)	(62, 36.19180763992436)	(64, 36.17974362765594)	(66, 36.15917622258581)	(68, 35.85141208871298)	(70, 36.04545975815706)	(72, 36.09320569315635)	(74, 36.072454723533134)	(76, 36.03176500221218)	(78, 35.99093114594038)	(80, 35.98360828431086)	(82, 35.95511489157588)	(84, 35.91427989670743)	(86, 35.86964646368844)	(88, 35.81353179771409)	(90, 35.760272948489636)	(92, 35.701623014882344)	(94, 35.63549738581624)	(96, 35.542629548446)	(98, 35.36877092840283)	(100, 35.139863323312696)
SRR5364334_1	(1, 30.842700076222222)	(2, 31.785958153185668)	(3, 32.23918502227336)	(4, 32.31092287471341)	(5, 32.656510377098414)	(6, 36.34147904502057)	(7, 36.58886120203207)	(8, 36.679298680944264)	(9, 36.71610274270164)	(10, 36.72057351002695)	(12, 36.71664438385763)	(14, 36.71318572966197)	(16, 36.71745716417689)	(18, 36.727759205743425)	(20, 36.70296413780562)	(22, 36.71318091856246)	(24, 36.68851500232881)	(26, 36.678226489093944)	(28, 36.665689862636555)	(30, 36.67073485916046)	(32, 36.654554586652026)	(34, 36.643715964356645)	(36, 36.63835371229517)	(38, 36.637459817392084)	(40, 36.628640250116604)	(42, 36.618125901469384)	(44, 36.585847985470735)	(46, 36.59336585020984)	(48, 36.58076908962565)	(50, 36.564045015121906)	(52, 36.53179026812266)	(54, 36.506162076579145)	(56, 36.488981981869)	(58, 36.47625046432651)	(60, 36.435341334213376)	(62, 36.43147018133154)	(64, 36.41068552959965)	(66, 36.39540489576379)	(68, 36.35711243125876)	(70, 36.34899363156326)	(72, 36.32058711777407)	(74, 36.305323031904315)	(76, 36.27958044515765)	(78, 36.26284479077138)	(80, 36.22582111755766)	(82, 36.206980103859536)	(84, 36.17720616662173)	(86, 36.15139257691115)	(88, 36.10678861471121)	(90, 36.062585081894056)	(92, 36.027905910111635)	(94, 35.97575728507124)	(96, 35.87879884556513)	(98, 35.74240669518888)	(100, 35.542144336051365)
SRR5364334_2	(1, 32.468627392568564)	(2, 32.493020535157896)	(3, 32.5043552085933)	(4, 32.47169378978657)	(5, 32.50692215642825)	(6, 36.255275758465224)	(7, 36.27960568265282)	(8, 36.27420125728713)	(9, 36.264621610162536)	(10, 36.24855294408171)	(12, 36.22765829270017)	(14, 36.219022683032186)	(16, 36.21775048426348)	(18, 36.185469400880706)	(20, 36.2094106325521)	(22, 36.190815889896335)	(24, 36.18899061783881)	(26, 36.197891188885855)	(28, 36.174869560564886)	(30, 36.18820914198666)	(32, 36.195673188898525)	(34, 36.191147551029374)	(36, 35.94609663491384)	(38, 36.11438900689062)	(40, 36.1552538028602)	(42, 36.13995764607177)	(44, 36.13533254495326)	(46, 36.11759951546964)	(48, 36.09350604620388)	(50, 36.07928894239234)	(52, 36.06179567373003)	(54, 36.041429633828045)	(56, 36.01339763781847)	(58, 35.994182337199646)	(60, 35.957430468022835)	(62, 35.937138053641895)	(64, 35.92086406165359)	(66, 35.89418289495475)	(68, 35.58514683004779)	(70, 35.768357756758455)	(72, 35.8121018249544)	(74, 35.78619936380088)	(76, 35.73866187753261)	(78, 35.69048132917548)	(80, 35.67589236707888)	(82, 35.63872227391512)	(84, 35.58991425106223)	(86, 35.53568911483839)	(88, 35.46584386214606)	(90, 35.39600510120605)	(92, 35.322548181037774)	(94, 35.238053795184605)	(96, 35.11766574427146)	(98, 34.894294658366405)	(100, 34.60484531834861)
