Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR5364315_1	(0.0, 23.0)	(1.0, 51.0)	(2.0, 88.0)	(3.0, 118.5)	(4.0, 155.0)	(5.0, 208.0)	(6.0, 288.0)	(7.0, 382.5)	(8.0, 493.5)	(9.0, 616.5)	(10.0, 757.5)	(11.0, 987.0)	(12.0, 1264.0)	(13.0, 1595.0)	(14.0, 2128.5)	(15.0, 2984.0)	(16.0, 4293.0)	(17.0, 6435.5)	(18.0, 9782.5)	(19.0, 14796.0)	(20.0, 23507.0)	(21.0, 37632.0)	(22.0, 54772.5)	(23.0, 77010.0)	(24.0, 110147.0)	(25.0, 152780.5)	(26.0, 205390.0)	(27.0, 272612.0)	(28.0, 344780.5)	(29.0, 433030.0)	(30.0, 529365.5)	(31.0, 616517.0)	(32.0, 724616.5)	(33.0, 862381.0)	(34.0, 969731.0)	(35.0, 1064157.0)	(36.0, 1205395.5)	(37.0, 1370619.5)	(38.0, 1462433.0)	(39.0, 1488012.0)	(40.0, 1544835.5)	(41.0, 1611962.0)	(42.0, 1625772.5)	(43.0, 1647019.5)	(44.0, 1733488.0)	(45.0, 1807103.0)	(46.0, 1843031.0)	(47.0, 1879273.5)	(48.0, 1936190.5)	(49.0, 1975691.5)	(50.0, 1987435.5)	(51.0, 1991718.0)	(52.0, 1983798.0)	(53.0, 1963753.5)	(54.0, 1913547.0)	(55.0, 1831019.5)	(56.0, 1738079.5)	(57.0, 1621868.0)	(58.0, 1482264.0)	(59.0, 1329865.5)	(60.0, 1158031.5)	(61.0, 985970.5)	(62.0, 826660.5)	(63.0, 668543.5)	(64.0, 517994.0)	(65.0, 399847.5)	(66.0, 310006.0)	(67.0, 239856.0)	(68.0, 188844.5)	(69.0, 148272.5)	(70.0, 116471.5)	(71.0, 92178.0)	(72.0, 76682.0)	(73.0, 64219.5)	(74.0, 52759.5)	(75.0, 44499.5)	(76.0, 37898.5)	(77.0, 32219.5)	(78.0, 26792.0)	(79.0, 21971.0)	(80.0, 18229.0)	(81.0, 15421.5)	(82.0, 12194.0)	(83.0, 9125.0)	(84.0, 6588.5)	(85.0, 4306.0)	(86.0, 2643.5)	(87.0, 1497.0)	(88.0, 728.5)	(89.0, 357.5)	(90.0, 202.5)	(91.0, 103.5)	(92.0, 30.0)	(93.0, 18.0)	(94.0, 16.5)	(95.0, 14.0)	(96.0, 8.5)	(97.0, 5.5)	(98.0, 3.5)	(99.0, 1.5)	(100.0, 0.0)
SRR5364315_2	(0.0, 139.0)	(1.0, 138.5)	(2.0, 145.0)	(3.0, 180.5)	(4.0, 227.5)	(5.0, 277.5)	(6.0, 351.0)	(7.0, 437.0)	(8.0, 540.0)	(9.0, 667.5)	(10.0, 826.0)	(11.0, 998.5)	(12.0, 1216.5)	(13.0, 1521.0)	(14.0, 1986.5)	(15.0, 2709.0)	(16.0, 3902.5)	(17.0, 5740.0)	(18.0, 8137.0)	(19.0, 12253.5)	(20.0, 20300.5)	(21.0, 31931.5)	(22.0, 46722.5)	(23.0, 68797.5)	(24.0, 99597.5)	(25.0, 137568.5)	(26.0, 186033.5)	(27.0, 250838.0)	(28.0, 318632.5)	(29.0, 397421.5)	(30.0, 485393.0)	(31.0, 582746.0)	(32.0, 704775.5)	(33.0, 826139.5)	(34.0, 933786.5)	(35.0, 1042972.5)	(36.0, 1152413.5)	(37.0, 1268760.0)	(38.0, 1344761.0)	(39.0, 1408107.5)	(40.0, 1498461.0)	(41.0, 1559519.0)	(42.0, 1603974.0)	(43.0, 1633020.0)	(44.0, 1683920.0)	(45.0, 1774096.0)	(46.0, 1824361.0)	(47.0, 1855668.5)	(48.0, 1901506.0)	(49.0, 1939148.5)	(50.0, 1960201.0)	(51.0, 1969142.0)	(52.0, 1973418.5)	(53.0, 1957504.0)	(54.0, 1918193.5)	(55.0, 1855176.5)	(56.0, 1768497.0)	(57.0, 1661602.5)	(58.0, 1536182.5)	(59.0, 1381474.5)	(60.0, 1206467.5)	(61.0, 1033801.0)	(62.0, 877442.5)	(63.0, 726166.0)	(64.0, 576273.5)	(65.0, 452244.5)	(66.0, 359933.0)	(67.0, 290205.5)	(68.0, 236052.5)	(69.0, 189877.0)	(70.0, 154713.0)	(71.0, 130391.0)	(72.0, 112706.5)	(73.0, 98300.0)	(74.0, 85050.5)	(75.0, 74428.5)	(76.0, 66581.0)	(77.0, 59090.5)	(78.0, 49818.5)	(79.0, 42192.0)	(80.0, 36205.0)	(81.0, 30106.5)	(82.0, 24197.0)	(83.0, 18868.0)	(84.0, 14622.5)	(85.0, 10650.0)	(86.0, 7106.0)	(87.0, 4595.0)	(88.0, 3050.5)	(89.0, 1867.0)	(90.0, 915.0)	(91.0, 562.5)	(92.0, 397.0)	(93.0, 299.0)	(94.0, 232.5)	(95.0, 186.5)	(96.0, 175.5)	(97.0, 140.5)	(98.0, 95.0)	(99.0, 74.5)	(100.0, 59.5)
SRR5364316_1	(0.0, 42.0)	(1.0, 64.5)	(2.0, 95.5)	(3.0, 124.5)	(4.0, 172.5)	(5.0, 211.5)	(6.0, 282.0)	(7.0, 374.0)	(8.0, 461.0)	(9.0, 578.5)	(10.0, 716.0)	(11.0, 897.5)	(12.0, 1163.0)	(13.0, 1524.5)	(14.0, 2085.0)	(15.0, 2886.0)	(16.0, 4070.0)	(17.0, 6058.5)	(18.0, 9174.5)	(19.0, 13842.5)	(20.0, 21759.0)	(21.0, 34173.0)	(22.0, 49596.0)	(23.0, 69850.0)	(24.0, 99875.5)	(25.0, 137319.0)	(26.0, 184046.5)	(27.0, 242946.5)	(28.0, 306857.0)	(29.0, 385170.0)	(30.0, 467590.5)	(31.0, 543891.0)	(32.0, 639737.0)	(33.0, 758549.5)	(34.0, 852998.5)	(35.0, 940676.5)	(36.0, 1061602.5)	(37.0, 1202004.0)	(38.0, 1284850.0)	(39.0, 1310031.5)	(40.0, 1362296.5)	(41.0, 1416639.5)	(42.0, 1428685.0)	(43.0, 1456607.0)	(44.0, 1532996.5)	(45.0, 1590400.5)	(46.0, 1615562.0)	(47.0, 1642685.0)	(48.0, 1683440.5)	(49.0, 1700090.0)	(50.0, 1693612.5)	(51.0, 1686242.5)	(52.0, 1664165.5)	(53.0, 1628914.0)	(54.0, 1572175.0)	(55.0, 1492974.0)	(56.0, 1407506.5)	(57.0, 1299407.0)	(58.0, 1174843.5)	(59.0, 1045689.5)	(60.0, 906131.0)	(61.0, 769333.0)	(62.0, 640370.0)	(63.0, 515405.5)	(64.0, 400017.0)	(65.0, 310032.0)	(66.0, 241565.5)	(67.0, 188079.0)	(68.0, 148096.0)	(69.0, 116609.5)	(70.0, 92808.5)	(71.0, 74439.0)	(72.0, 62584.5)	(73.0, 52946.0)	(74.0, 43989.5)	(75.0, 37715.0)	(76.0, 32798.5)	(77.0, 27952.5)	(78.0, 23002.0)	(79.0, 19073.5)	(80.0, 16047.5)	(81.0, 13548.5)	(82.0, 10706.0)	(83.0, 8100.5)	(84.0, 5888.5)	(85.0, 3902.0)	(86.0, 2411.0)	(87.0, 1361.5)	(88.0, 675.5)	(89.0, 328.5)	(90.0, 179.5)	(91.0, 75.0)	(92.0, 21.0)	(93.0, 12.5)	(94.0, 10.0)	(95.0, 6.5)	(96.0, 5.5)	(97.0, 3.5)	(98.0, 2.0)	(99.0, 0.0)	(100.0, 0.0)
SRR5364316_2	(0.0, 125.0)	(1.0, 129.5)	(2.0, 138.0)	(3.0, 169.5)	(4.0, 209.0)	(5.0, 275.0)	(6.0, 337.0)	(7.0, 402.5)	(8.0, 514.0)	(9.0, 612.5)	(10.0, 739.0)	(11.0, 908.0)	(12.0, 1112.5)	(13.0, 1402.5)	(14.0, 1862.5)	(15.0, 2526.0)	(16.0, 3565.5)	(17.0, 5191.0)	(18.0, 7451.5)	(19.0, 11254.0)	(20.0, 18456.5)	(21.0, 28868.0)	(22.0, 42306.5)	(23.0, 62436.5)	(24.0, 90237.0)	(25.0, 123613.5)	(26.0, 166782.5)	(27.0, 225285.0)	(28.0, 284152.5)	(29.0, 351278.5)	(30.0, 428139.0)	(31.0, 512339.0)	(32.0, 617822.5)	(33.0, 723484.5)	(34.0, 819595.5)	(35.0, 920290.0)	(36.0, 1016375.0)	(37.0, 1115147.5)	(38.0, 1185158.0)	(39.0, 1241769.0)	(40.0, 1319242.5)	(41.0, 1372257.0)	(42.0, 1409959.0)	(43.0, 1438746.5)	(44.0, 1484279.5)	(45.0, 1552423.0)	(46.0, 1588713.0)	(47.0, 1614960.5)	(48.0, 1648488.5)	(49.0, 1671681.0)	(50.0, 1678833.0)	(51.0, 1670118.5)	(52.0, 1655919.0)	(53.0, 1627386.0)	(54.0, 1577652.0)	(55.0, 1512495.0)	(56.0, 1433174.5)	(57.0, 1337174.5)	(58.0, 1226130.0)	(59.0, 1093374.5)	(60.0, 949053.5)	(61.0, 812828.5)	(62.0, 686466.0)	(63.0, 564050.0)	(64.0, 450095.0)	(65.0, 356409.0)	(66.0, 286308.0)	(67.0, 233522.0)	(68.0, 191653.0)	(69.0, 155785.5)	(70.0, 128895.5)	(71.0, 110007.5)	(72.0, 95735.0)	(73.0, 83899.0)	(74.0, 73393.5)	(75.0, 65071.5)	(76.0, 58474.5)	(77.0, 52347.5)	(78.0, 44649.5)	(79.0, 37707.0)	(80.0, 32394.5)	(81.0, 27027.5)	(82.0, 21529.0)	(83.0, 16877.5)	(84.0, 12978.5)	(85.0, 9347.5)	(86.0, 6342.0)	(87.0, 4108.0)	(88.0, 2676.0)	(89.0, 1598.5)	(90.0, 839.0)	(91.0, 534.0)	(92.0, 386.0)	(93.0, 279.0)	(94.0, 207.0)	(95.0, 166.5)	(96.0, 145.5)	(97.0, 107.0)	(98.0, 69.0)	(99.0, 55.0)	(100.0, 48.0)
SRR5364317_1	(0.0, 65.0)	(1.0, 73.0)	(2.0, 85.0)	(3.0, 114.5)	(4.0, 142.0)	(5.0, 171.0)	(6.0, 246.5)	(7.0, 314.0)	(8.0, 372.5)	(9.0, 487.0)	(10.0, 583.0)	(11.0, 735.5)	(12.0, 980.5)	(13.0, 1298.5)	(14.0, 1810.5)	(15.0, 2543.5)	(16.0, 3632.5)	(17.0, 5439.0)	(18.0, 8356.0)	(19.0, 12645.0)	(20.0, 19914.0)	(21.0, 31400.0)	(22.0, 46281.5)	(23.0, 65550.0)	(24.0, 92829.5)	(25.0, 127775.0)	(26.0, 172018.0)	(27.0, 227055.5)	(28.0, 287438.0)	(29.0, 361739.5)	(30.0, 439113.0)	(31.0, 509422.0)	(32.0, 598134.0)	(33.0, 714514.5)	(34.0, 806688.0)	(35.0, 888194.5)	(36.0, 1002899.5)	(37.0, 1132817.5)	(38.0, 1210164.5)	(39.0, 1235271.0)	(40.0, 1278262.5)	(41.0, 1326024.5)	(42.0, 1339012.5)	(43.0, 1362995.0)	(44.0, 1432537.0)	(45.0, 1486981.5)	(46.0, 1513996.5)	(47.0, 1540869.5)	(48.0, 1580472.5)	(49.0, 1597370.5)	(50.0, 1591364.5)	(51.0, 1584885.0)	(52.0, 1564923.5)	(53.0, 1535011.5)	(54.0, 1484314.0)	(55.0, 1410791.0)	(56.0, 1328354.0)	(57.0, 1227542.0)	(58.0, 1113919.5)	(59.0, 993318.5)	(60.0, 860837.0)	(61.0, 730893.0)	(62.0, 609776.5)	(63.0, 492958.5)	(64.0, 384455.5)	(65.0, 297963.5)	(66.0, 231820.5)	(67.0, 180534.0)	(68.0, 142259.5)	(69.0, 111423.5)	(70.0, 88376.5)	(71.0, 71085.5)	(72.0, 59513.0)	(73.0, 50358.0)	(74.0, 42156.5)	(75.0, 36285.0)	(76.0, 31636.5)	(77.0, 27328.0)	(78.0, 22835.0)	(79.0, 18993.5)	(80.0, 16111.5)	(81.0, 13794.5)	(82.0, 11173.5)	(83.0, 8672.5)	(84.0, 6468.5)	(85.0, 4439.5)	(86.0, 2947.0)	(87.0, 1821.5)	(88.0, 1043.0)	(89.0, 633.5)	(90.0, 426.0)	(91.0, 216.5)	(92.0, 58.5)	(93.0, 28.5)	(94.0, 14.0)	(95.0, 10.5)	(96.0, 6.5)	(97.0, 6.5)	(98.0, 3.5)	(99.0, 0.5)	(100.0, 0.0)
SRR5364317_2	(0.0, 136.0)	(1.0, 130.0)	(2.0, 129.0)	(3.0, 143.5)	(4.0, 182.0)	(5.0, 252.0)	(6.0, 316.5)	(7.0, 362.0)	(8.0, 450.5)	(9.0, 583.0)	(10.0, 692.0)	(11.0, 838.0)	(12.0, 1060.0)	(13.0, 1341.5)	(14.0, 1790.5)	(15.0, 2404.5)	(16.0, 3369.5)	(17.0, 4910.0)	(18.0, 7027.5)	(19.0, 10603.0)	(20.0, 17201.5)	(21.0, 26953.5)	(22.0, 39645.0)	(23.0, 58519.0)	(24.0, 84425.0)	(25.0, 115444.5)	(26.0, 155908.0)	(27.0, 210682.0)	(28.0, 266819.5)	(29.0, 330229.0)	(30.0, 402720.5)	(31.0, 482806.0)	(32.0, 582761.0)	(33.0, 683420.5)	(34.0, 773548.5)	(35.0, 867896.0)	(36.0, 959882.5)	(37.0, 1052730.0)	(38.0, 1116654.0)	(39.0, 1167494.5)	(40.0, 1239174.0)	(41.0, 1289503.0)	(42.0, 1323550.0)	(43.0, 1349800.0)	(44.0, 1392504.0)	(45.0, 1457529.0)	(46.0, 1489961.0)	(47.0, 1512486.5)	(48.0, 1547369.5)	(49.0, 1569653.5)	(50.0, 1573786.0)	(51.0, 1568702.5)	(52.0, 1558375.5)	(53.0, 1532272.5)	(54.0, 1489909.5)	(55.0, 1428919.0)	(56.0, 1352309.5)	(57.0, 1263052.0)	(58.0, 1158343.0)	(59.0, 1034496.0)	(60.0, 901154.0)	(61.0, 772297.5)	(62.0, 651979.0)	(63.0, 535916.5)	(64.0, 427949.5)	(65.0, 338998.0)	(66.0, 271785.0)	(67.0, 220930.5)	(68.0, 180532.5)	(69.0, 147067.5)	(70.0, 121892.5)	(71.0, 103746.0)	(72.0, 90089.0)	(73.0, 78636.5)	(74.0, 68835.5)	(75.0, 61042.5)	(76.0, 55114.5)	(77.0, 49287.0)	(78.0, 42036.0)	(79.0, 36045.0)	(80.0, 31181.0)	(81.0, 26510.5)	(82.0, 21731.0)	(83.0, 17412.0)	(84.0, 13831.0)	(85.0, 10257.5)	(86.0, 7268.0)	(87.0, 5054.0)	(88.0, 3366.0)	(89.0, 2080.5)	(90.0, 1176.0)	(91.0, 668.0)	(92.0, 426.0)	(93.0, 312.0)	(94.0, 231.5)	(95.0, 181.0)	(96.0, 149.5)	(97.0, 115.5)	(98.0, 79.5)	(99.0, 54.5)	(100.0, 56.0)
SRR5364318_1	(0.0, 23.0)	(1.0, 37.5)	(2.0, 66.0)	(3.0, 98.5)	(4.0, 134.0)	(5.0, 161.0)	(6.0, 205.5)	(7.0, 284.0)	(8.0, 366.0)	(9.0, 434.0)	(10.0, 563.5)	(11.0, 761.0)	(12.0, 995.0)	(13.0, 1282.0)	(14.0, 1724.5)	(15.0, 2462.0)	(16.0, 3576.0)	(17.0, 5252.0)	(18.0, 8044.5)	(19.0, 12433.5)	(20.0, 19666.5)	(21.0, 31012.5)	(22.0, 45002.5)	(23.0, 63750.0)	(24.0, 91925.5)	(25.0, 127541.0)	(26.0, 172897.0)	(27.0, 229346.5)	(28.0, 288653.5)	(29.0, 365150.5)	(30.0, 447888.0)	(31.0, 520756.5)	(32.0, 613921.5)	(33.0, 739280.5)	(34.0, 840237.0)	(35.0, 925939.5)	(36.0, 1048225.5)	(37.0, 1192059.0)	(38.0, 1270345.5)	(39.0, 1285159.0)	(40.0, 1323168.0)	(41.0, 1369256.5)	(42.0, 1376663.5)	(43.0, 1392865.0)	(44.0, 1460707.0)	(45.0, 1513425.0)	(46.0, 1533512.5)	(47.0, 1559186.0)	(48.0, 1602729.0)	(49.0, 1622720.0)	(50.0, 1617030.0)	(51.0, 1608183.0)	(52.0, 1588068.5)	(53.0, 1560608.0)	(54.0, 1514197.0)	(55.0, 1443160.5)	(56.0, 1361749.0)	(57.0, 1260542.5)	(58.0, 1144311.5)	(59.0, 1020137.5)	(60.0, 885012.5)	(61.0, 753288.0)	(62.0, 627229.5)	(63.0, 504928.0)	(64.0, 393655.5)	(65.0, 303930.0)	(66.0, 235514.5)	(67.0, 184250.5)	(68.0, 145539.5)	(69.0, 114616.5)	(70.0, 91303.5)	(71.0, 73058.0)	(72.0, 61407.5)	(73.0, 52007.0)	(74.0, 43030.0)	(75.0, 37001.0)	(76.0, 32405.0)	(77.0, 27965.0)	(78.0, 23216.5)	(79.0, 19452.5)	(80.0, 16755.0)	(81.0, 14532.5)	(82.0, 11841.0)	(83.0, 9424.0)	(84.0, 7357.0)	(85.0, 5297.5)	(86.0, 3733.0)	(87.0, 2454.5)	(88.0, 1527.0)	(89.0, 995.5)	(90.0, 625.5)	(91.0, 318.0)	(92.0, 88.0)	(93.0, 29.5)	(94.0, 13.5)	(95.0, 12.0)	(96.0, 11.5)	(97.0, 8.0)	(98.0, 2.0)	(99.0, 1.0)	(100.0, 1.0)
SRR5364318_2	(0.0, 127.0)	(1.0, 116.5)	(2.0, 106.0)	(3.0, 155.0)	(4.0, 213.0)	(5.0, 243.0)	(6.0, 294.0)	(7.0, 362.0)	(8.0, 466.0)	(9.0, 576.5)	(10.0, 674.5)	(11.0, 802.0)	(12.0, 1017.5)	(13.0, 1298.5)	(14.0, 1690.5)	(15.0, 2312.0)	(16.0, 3218.0)	(17.0, 4744.0)	(18.0, 6847.0)	(19.0, 10329.5)	(20.0, 17116.0)	(21.0, 26897.0)	(22.0, 39508.0)	(23.0, 58428.5)	(24.0, 84363.5)	(25.0, 116583.0)	(26.0, 158514.5)	(27.0, 215198.0)	(28.0, 271483.0)	(29.0, 336413.5)	(30.0, 413082.5)	(31.0, 498551.5)	(32.0, 608778.0)	(33.0, 718296.5)	(34.0, 811563.0)	(35.0, 909241.0)	(36.0, 1007596.5)	(37.0, 1106966.0)	(38.0, 1169945.5)	(39.0, 1217381.0)	(40.0, 1286317.5)	(41.0, 1331762.0)	(42.0, 1362397.0)	(43.0, 1382950.5)	(44.0, 1420176.5)	(45.0, 1486839.5)	(46.0, 1516888.5)	(47.0, 1533594.0)	(48.0, 1567768.5)	(49.0, 1591257.5)	(50.0, 1595819.0)	(51.0, 1586157.0)	(52.0, 1577545.0)	(53.0, 1556542.5)	(54.0, 1514035.5)	(55.0, 1456784.0)	(56.0, 1383557.5)	(57.0, 1291882.5)	(58.0, 1185515.0)	(59.0, 1058085.5)	(60.0, 919138.5)	(61.0, 787815.0)	(62.0, 666943.5)	(63.0, 547914.0)	(64.0, 435420.0)	(65.0, 344707.5)	(66.0, 276307.5)	(67.0, 224309.0)	(68.0, 183519.0)	(69.0, 149200.5)	(70.0, 124370.0)	(71.0, 106067.5)	(72.0, 91855.0)	(73.0, 80608.0)	(74.0, 70214.0)	(75.0, 62083.5)	(76.0, 55916.5)	(77.0, 49994.5)	(78.0, 43054.0)	(79.0, 36739.0)	(80.0, 31581.0)	(81.0, 27081.5)	(82.0, 22511.5)	(83.0, 18347.5)	(84.0, 14859.5)	(85.0, 11406.0)	(86.0, 8284.0)	(87.0, 5926.0)	(88.0, 3960.0)	(89.0, 2434.5)	(90.0, 1421.5)	(91.0, 814.0)	(92.0, 459.5)	(93.0, 305.5)	(94.0, 216.5)	(95.0, 175.5)	(96.0, 141.5)	(97.0, 102.5)	(98.0, 75.5)	(99.0, 49.0)	(100.0, 44.5)
SRR5364334_1	(0.0, 48.0)	(1.0, 55.5)	(2.0, 76.5)	(3.0, 107.0)	(4.0, 144.0)	(5.0, 195.5)	(6.0, 253.0)	(7.0, 331.0)	(8.0, 429.0)	(9.0, 534.5)	(10.0, 689.0)	(11.0, 859.5)	(12.0, 1108.5)	(13.0, 1451.5)	(14.0, 1947.0)	(15.0, 2767.5)	(16.0, 3983.0)	(17.0, 6202.0)	(18.0, 9928.5)	(19.0, 14809.0)	(20.0, 23747.0)	(21.0, 37938.5)	(22.0, 54674.5)	(23.0, 76838.0)	(24.0, 108327.5)	(25.0, 148755.0)	(26.0, 201933.5)	(27.0, 268103.0)	(28.0, 338881.0)	(29.0, 422477.0)	(30.0, 511435.5)	(31.0, 593282.5)	(32.0, 698915.0)	(33.0, 842284.5)	(34.0, 953748.5)	(35.0, 1062601.5)	(36.0, 1217664.0)	(37.0, 1385989.5)	(38.0, 1469931.0)	(39.0, 1497324.5)	(40.0, 1558008.0)	(41.0, 1613310.5)	(42.0, 1624023.5)	(43.0, 1650914.5)	(44.0, 1751571.5)	(45.0, 1828806.0)	(46.0, 1847080.5)	(47.0, 1870859.5)	(48.0, 1970687.0)	(49.0, 2026813.0)	(50.0, 2014542.5)	(51.0, 2034311.0)	(52.0, 2027649.5)	(53.0, 1992439.5)	(54.0, 1940521.0)	(55.0, 1867744.0)	(56.0, 1769642.0)	(57.0, 1646902.5)	(58.0, 1514387.5)	(59.0, 1366876.5)	(60.0, 1195004.5)	(61.0, 1018835.0)	(62.0, 863782.0)	(63.0, 705702.5)	(64.0, 550982.5)	(65.0, 427541.0)	(66.0, 324620.0)	(67.0, 240526.5)	(68.0, 184441.5)	(69.0, 145887.5)	(70.0, 115000.0)	(71.0, 92032.5)	(72.0, 77673.5)	(73.0, 64558.0)	(74.0, 53067.5)	(75.0, 43321.5)	(76.0, 35938.0)	(77.0, 29121.0)	(78.0, 23766.5)	(79.0, 19436.0)	(80.0, 16004.0)	(81.0, 13307.5)	(82.0, 9951.0)	(83.0, 6847.0)	(84.0, 4672.5)	(85.0, 2916.5)	(86.0, 1596.5)	(87.0, 712.5)	(88.0, 273.0)	(89.0, 143.5)	(90.0, 62.5)	(91.0, 22.0)	(92.0, 12.0)	(93.0, 10.5)	(94.0, 7.0)	(95.0, 5.0)	(96.0, 4.5)	(97.0, 3.0)	(98.0, 1.5)	(99.0, 0.5)	(100.0, 0.0)
SRR5364334_2	(0.0, 142.0)	(1.0, 132.5)	(2.0, 137.5)	(3.0, 177.5)	(4.0, 219.5)	(5.0, 269.5)	(6.0, 336.0)	(7.0, 411.5)	(8.0, 496.5)	(9.0, 574.0)	(10.0, 725.5)	(11.0, 935.0)	(12.0, 1128.0)	(13.0, 1440.5)	(14.0, 1847.5)	(15.0, 2446.0)	(16.0, 3622.5)	(17.0, 5569.0)	(18.0, 7880.5)	(19.0, 11776.0)	(20.0, 19705.0)	(21.0, 31216.0)	(22.0, 45406.0)	(23.0, 67185.0)	(24.0, 97594.5)	(25.0, 133490.5)	(26.0, 177911.5)	(27.0, 240249.0)	(28.0, 302068.5)	(29.0, 372892.0)	(30.0, 457689.5)	(31.0, 552419.5)	(32.0, 678237.5)	(33.0, 806407.0)	(34.0, 913302.0)	(35.0, 1027953.5)	(36.0, 1148334.5)	(37.0, 1268310.0)	(38.0, 1339937.5)	(39.0, 1395599.5)	(40.0, 1484951.5)	(41.0, 1545631.0)	(42.0, 1592315.5)	(43.0, 1623105.5)	(44.0, 1673034.0)	(45.0, 1762520.0)	(46.0, 1803855.0)	(47.0, 1826974.0)	(48.0, 1889256.0)	(49.0, 1952802.5)	(50.0, 1998483.5)	(51.0, 2025795.0)	(52.0, 2018435.5)	(53.0, 1989239.5)	(54.0, 1952191.5)	(55.0, 1883948.0)	(56.0, 1793523.0)	(57.0, 1711544.0)	(58.0, 1611560.5)	(59.0, 1451237.5)	(60.0, 1274040.0)	(61.0, 1114560.5)	(62.0, 940891.0)	(63.0, 765381.0)	(64.0, 618431.5)	(65.0, 489950.0)	(66.0, 388786.0)	(67.0, 311192.0)	(68.0, 249090.0)	(69.0, 201651.5)	(70.0, 164423.0)	(71.0, 139617.5)	(72.0, 121995.5)	(73.0, 108250.0)	(74.0, 94525.0)	(75.0, 81367.5)	(76.0, 71814.5)	(77.0, 63208.0)	(78.0, 53114.5)	(79.0, 44324.5)	(80.0, 36842.5)	(81.0, 29695.0)	(82.0, 22951.0)	(83.0, 16960.0)	(84.0, 12722.0)	(85.0, 8945.5)	(86.0, 5570.5)	(87.0, 3261.0)	(88.0, 1808.0)	(89.0, 1063.0)	(90.0, 701.0)	(91.0, 507.5)	(92.0, 366.0)	(93.0, 253.5)	(94.0, 201.0)	(95.0, 192.5)	(96.0, 155.5)	(97.0, 92.5)	(98.0, 70.5)	(99.0, 66.5)	(100.0, 57.5)
