Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34
SRR5364315_1	(2.0, 229.0)	(3.0, 577.0)	(4.0, 949.0)	(5.0, 1113.0)	(6.0, 1583.0)	(7.0, 2170.0)	(8.0, 3533.0)	(9.0, 5725.0)	(10.0, 7896.0)	(11.0, 8917.0)	(12.0, 9568.0)	(13.0, 10510.0)	(14.0, 11589.0)	(15.0, 13144.0)	(16.0, 14554.0)	(17.0, 16081.0)	(18.0, 17707.0)	(19.0, 18974.0)	(20.0, 21005.0)	(21.0, 23552.0)	(22.0, 26784.0)	(23.0, 32050.0)	(24.0, 40666.0)	(25.0, 54001.0)	(26.0, 72817.0)	(27.0, 99690.0)	(28.0, 136559.0)	(29.0, 182168.0)	(30.0, 247633.0)	(31.0, 335340.0)	(32.0, 471298.0)	(33.0, 704802.0)	(34.0, 1220247.0)	(35.0, 3154568.0)	(36.0, 46613253.0)
SRR5364315_2	(2.0, 20949.0)	(3.0, 22704.0)	(4.0, 23253.0)	(5.0, 19871.0)	(6.0, 18284.0)	(7.0, 17860.0)	(8.0, 18418.0)	(9.0, 19638.0)	(10.0, 20835.0)	(11.0, 22310.0)	(12.0, 23379.0)	(13.0, 24690.0)	(14.0, 26236.0)	(15.0, 28390.0)	(16.0, 30346.0)	(17.0, 33639.0)	(18.0, 37306.0)	(19.0, 40593.0)	(20.0, 45987.0)	(21.0, 54021.0)	(22.0, 68840.0)	(23.0, 90850.0)	(24.0, 117127.0)	(25.0, 145996.0)	(26.0, 177942.0)	(27.0, 215129.0)	(28.0, 261813.0)	(29.0, 318648.0)	(30.0, 395302.0)	(31.0, 501551.0)	(32.0, 665354.0)	(33.0, 964494.0)	(34.0, 1555612.0)	(35.0, 3680003.0)	(36.0, 43873882.0)
SRR5364316_1	(2.0, 166.0)	(3.0, 462.0)	(4.0, 792.0)	(5.0, 958.0)	(6.0, 1324.0)	(7.0, 1880.0)	(8.0, 3107.0)	(9.0, 5071.0)	(10.0, 6699.0)	(11.0, 7556.0)	(12.0, 8484.0)	(13.0, 9331.0)	(14.0, 10416.0)	(15.0, 11718.0)	(16.0, 13150.0)	(17.0, 14579.0)	(18.0, 16146.0)	(19.0, 17462.0)	(20.0, 19365.0)	(21.0, 21668.0)	(22.0, 25163.0)	(23.0, 30200.0)	(24.0, 38312.0)	(25.0, 50973.0)	(26.0, 69216.0)	(27.0, 94388.0)	(28.0, 129087.0)	(29.0, 174593.0)	(30.0, 238139.0)	(31.0, 328891.0)	(32.0, 468971.0)	(33.0, 719680.0)	(34.0, 1291893.0)	(35.0, 3556340.0)	(36.0, 38113311.0)
SRR5364316_2	(2.0, 13602.0)	(3.0, 15080.0)	(4.0, 15127.0)	(5.0, 12656.0)	(6.0, 11760.0)	(7.0, 11627.0)	(8.0, 12325.0)	(9.0, 13787.0)	(10.0, 14395.0)	(11.0, 15794.0)	(12.0, 16210.0)	(13.0, 17193.0)	(14.0, 18391.0)	(15.0, 19764.0)	(16.0, 21359.0)	(17.0, 23434.0)	(18.0, 25816.0)	(19.0, 27718.0)	(20.0, 31119.0)	(21.0, 35873.0)	(22.0, 44969.0)	(23.0, 59636.0)	(24.0, 74876.0)	(25.0, 94166.0)	(26.0, 116516.0)	(27.0, 144380.0)	(28.0, 178160.0)	(29.0, 223362.0)	(30.0, 283279.0)	(31.0, 368436.0)	(32.0, 505614.0)	(33.0, 751221.0)	(34.0, 1245394.0)	(35.0, 3048842.0)	(36.0, 37987610.0)
SRR5364317_1	(2.0, 169.0)	(3.0, 407.0)	(4.0, 694.0)	(5.0, 874.0)	(6.0, 1125.0)	(7.0, 1672.0)	(8.0, 2652.0)	(9.0, 4159.0)	(10.0, 5605.0)	(11.0, 6456.0)	(12.0, 7170.0)	(13.0, 7982.0)	(14.0, 9090.0)	(15.0, 10261.0)	(16.0, 11373.0)	(17.0, 12554.0)	(18.0, 14265.0)	(19.0, 15155.0)	(20.0, 17246.0)	(21.0, 19242.0)	(22.0, 22292.0)	(23.0, 27004.0)	(24.0, 34682.0)	(25.0, 46570.0)	(26.0, 63270.0)	(27.0, 86743.0)	(28.0, 117638.0)	(29.0, 159767.0)	(30.0, 215782.0)	(31.0, 296976.0)	(32.0, 424504.0)	(33.0, 649296.0)	(34.0, 1167564.0)	(35.0, 3286720.0)	(36.0, 36114633.0)
SRR5364317_2	(2.0, 16590.0)	(3.0, 17503.0)	(4.0, 17213.0)	(5.0, 14174.0)	(6.0, 12883.0)	(7.0, 12642.0)	(8.0, 13039.0)	(9.0, 14034.0)	(10.0, 14828.0)	(11.0, 15748.0)	(12.0, 16346.0)	(13.0, 17503.0)	(14.0, 18607.0)	(15.0, 19860.0)	(16.0, 21570.0)	(17.0, 23686.0)	(18.0, 26135.0)	(19.0, 28845.0)	(20.0, 32517.0)	(21.0, 37553.0)	(22.0, 47292.0)	(23.0, 62537.0)	(24.0, 80569.0)	(25.0, 101218.0)	(26.0, 124768.0)	(27.0, 154850.0)	(28.0, 188710.0)	(29.0, 234660.0)	(30.0, 295550.0)	(31.0, 381602.0)	(32.0, 514588.0)	(33.0, 759194.0)	(34.0, 1247728.0)	(35.0, 3006234.0)	(36.0, 35270816.0)
SRR5364318_1	(2.0, 195.0)	(3.0, 291.0)	(4.0, 552.0)	(5.0, 781.0)	(6.0, 1070.0)	(7.0, 1644.0)	(8.0, 2743.0)	(9.0, 4603.0)	(10.0, 6037.0)	(11.0, 6821.0)	(12.0, 7475.0)	(13.0, 8205.0)	(14.0, 9046.0)	(15.0, 10169.0)	(16.0, 11103.0)	(17.0, 12259.0)	(18.0, 13860.0)	(19.0, 15031.0)	(20.0, 16871.0)	(21.0, 18892.0)	(22.0, 21958.0)	(23.0, 26395.0)	(24.0, 33971.0)	(25.0, 46013.0)	(26.0, 61912.0)	(27.0, 85887.0)	(28.0, 117988.0)	(29.0, 161453.0)	(30.0, 221651.0)	(31.0, 305744.0)	(32.0, 441578.0)	(33.0, 687253.0)	(34.0, 1262297.0)	(35.0, 3731504.0)	(36.0, 36560455.0)
SRR5364318_2	(2.0, 14134.0)	(3.0, 15024.0)	(4.0, 15154.0)	(5.0, 12712.0)	(6.0, 11684.0)	(7.0, 11800.0)	(8.0, 12499.0)	(9.0, 13506.0)	(10.0, 14276.0)	(11.0, 15347.0)	(12.0, 15828.0)	(13.0, 16891.0)	(14.0, 17853.0)	(15.0, 19242.0)	(16.0, 20537.0)	(17.0, 22549.0)	(18.0, 24941.0)	(19.0, 27221.0)	(20.0, 30411.0)	(21.0, 35286.0)	(22.0, 43750.0)	(23.0, 57929.0)	(24.0, 73350.0)	(25.0, 92845.0)	(26.0, 115619.0)	(27.0, 143597.0)	(28.0, 177933.0)	(29.0, 220583.0)	(30.0, 280515.0)	(31.0, 362171.0)	(32.0, 492819.0)	(33.0, 728171.0)	(34.0, 1206433.0)	(35.0, 2947608.0)	(36.0, 36603489.0)
SRR5364334_1	(2.0, 197.0)	(3.0, 499.0)	(4.0, 879.0)	(5.0, 1037.0)	(6.0, 1508.0)	(7.0, 2177.0)	(8.0, 3314.0)	(9.0, 5433.0)	(10.0, 7311.0)	(11.0, 8179.0)	(12.0, 8899.0)	(13.0, 10185.0)	(14.0, 11096.0)	(15.0, 12435.0)	(16.0, 13516.0)	(17.0, 15239.0)	(18.0, 16739.0)	(19.0, 18355.0)	(20.0, 20398.0)	(21.0, 23296.0)	(22.0, 27161.0)	(23.0, 32748.0)	(24.0, 42131.0)	(25.0, 56211.0)	(26.0, 76922.0)	(27.0, 105982.0)	(28.0, 145150.0)	(29.0, 197725.0)	(30.0, 268634.0)	(31.0, 368263.0)	(32.0, 518958.0)	(33.0, 777081.0)	(34.0, 1350318.0)	(35.0, 3466908.0)	(36.0, 46530743.0)
SRR5364334_2	(2.0, 25844.0)	(3.0, 26535.0)	(4.0, 28251.0)	(5.0, 24129.0)	(6.0, 22068.0)	(7.0, 21467.0)	(8.0, 21818.0)	(9.0, 22831.0)	(10.0, 23661.0)	(11.0, 25144.0)	(12.0, 26188.0)	(13.0, 28196.0)	(14.0, 29660.0)	(15.0, 32278.0)	(16.0, 35149.0)	(17.0, 38644.0)	(18.0, 42687.0)	(19.0, 47135.0)	(20.0, 53875.0)	(21.0, 63772.0)	(22.0, 82158.0)	(23.0, 110137.0)	(24.0, 141746.0)	(25.0, 176984.0)	(26.0, 214475.0)	(27.0, 260393.0)	(28.0, 313296.0)	(29.0, 380421.0)	(30.0, 469003.0)	(31.0, 592664.0)	(32.0, 779529.0)	(33.0, 1113603.0)	(34.0, 1779749.0)	(35.0, 4075939.0)	(36.0, 43016198.0)
