Sample	Unique Reads	Duplicate Reads
SRR5364315_1	17452232.0	36129020.0
SRR5364315_2	19417509.0	34163743.0
SRR5364316_1	16341101.0	29158390.0
SRR5364316_2	17961202.0	27538289.0
SRR5364317_1	16434247.0	26427345.0
SRR5364317_2	17663688.0	25197904.0
SRR5364318_1	15960500.0	27953207.0
SRR5364318_2	17406117.0	26507590.0
SRR5364334_1	17046586.0	37099041.0
SRR5364334_2	19053432.0	35092195.0
SRR5364335_1	15615436.0	30327391.0
SRR5364335_2	16922206.0	29020621.0
SRR5364336_1	18099814.0	38291353.0
SRR5364336_2	20163818.0	36227349.0
SRR5364337_1	15087590.0	27607512.0
SRR5364337_2	16335733.0	26359369.0
