Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR5364315_1	(1.0, 21.021532213923138)	(2.0, 9.709545507625936)	(3.0, 6.224122231685441)	(4.0, 4.529260396513249)	(5.0, 3.523627569878606)	(6.0, 2.9908991201881596)	(7.0, 2.5073320575421922)	(8.0, 2.2081158188577543)	(9.0, 1.9446509623523105)	('>10', 23.822855688680498)	('>50', 6.2608087565660355)	('>100', 8.368937034642173)	('>500', 2.074301492253244)	('>1k', 3.2718174933491455)	('>5k', 0.7285491756962091)	('>10k+', 0.8136444802459677)
SRR5364315_2	(1.0, 23.3043486281928)	(2.0, 11.240588493530879)	(3.0, 7.040119168338764)	(4.0, 5.334053574285309)	(5.0, 4.120173246801483)	(6.0, 3.3792047333231876)	(7.0, 2.7972475414255555)	(8.0, 2.3804486961593074)	(9.0, 2.0990328056602627)	('>10', 21.48753771593561)	('>50', 4.76889063398663)	('>100', 6.100834593748348)	('>500', 1.7921404386900721)	('>1k', 3.1461290141281384)	('>5k', 0.7882514207431373)	('>10k+', 0.22099929505057553)
SRR5364316_1	(1.0, 23.79797956494283)	(2.0, 10.59789147599856)	(3.0, 6.458366344635583)	(4.0, 4.716976823852102)	(5.0, 3.737679000730218)	(6.0, 3.084425306690865)	(7.0, 2.5064238698548396)	(8.0, 2.2130606028243265)	(9.0, 1.9227549949544498)	('>10', 22.74928066416377)	('>50', 5.315528297629315)	('>100', 6.97972834711611)	('>500', 1.7509060888081467)	('>1k', 2.946730697072006)	('>5k', 0.6036365587094031)	('>10k+', 0.6186313620175428)
SRR5364316_2	(1.0, 25.78022849575162)	(2.0, 12.458125154570203)	(3.0, 7.688134265718909)	(4.0, 5.481191636300242)	(5.0, 4.207026591065052)	(6.0, 3.411241850395878)	(7.0, 2.776764533762125)	(8.0, 2.33645575591748)	(9.0, 1.8903610478237205)	('>10', 19.78591438884442)	('>50', 3.84474126662873)	('>100', 5.072414143660813)	('>500', 1.6305916677862204)	('>1k', 2.973826256523898)	('>5k', 0.5361207264544736)	('>10k+', 0.12686221879607676)
SRR5364317_1	(1.0, 26.09075472575921)	(2.0, 10.866840557360446)	(3.0, 6.648556671922363)	(4.0, 4.870191889353225)	(5.0, 3.73328350561752)	(6.0, 3.000304781704559)	(7.0, 2.53294776997797)	(8.0, 2.2044222193864105)	(9.0, 1.8430809146143103)	('>10', 21.29631978511585)	('>50', 4.803868963515147)	('>100', 6.340825184325183)	('>500', 1.7190677872832616)	('>1k', 3.0007988806932775)	('>5k', 0.5521258072138843)	('>10k+', 0.4966105561573426)
SRR5364317_2	(1.0, 27.37076740026892)	(2.0, 12.81660497988724)	(3.0, 7.887260226306565)	(4.0, 5.607643798200825)	(5.0, 4.254024248553579)	(6.0, 3.3236328916542766)	(7.0, 2.53235351506498)	(8.0, 2.2779473912906454)	(9.0, 1.8449745953055243)	('>10', 18.46613062625558)	('>50', 3.61266352569922)	('>100', 4.796403503636574)	('>500', 1.6494734086513116)	('>1k', 3.081982362700978)	('>5k', 0.4065219673208897)	('>10k+', 0.07161555920271513)
SRR5364318_1	(1.0, 24.159577543985165)	(2.0, 10.814004047301843)	(3.0, 6.481279334426571)	(4.0, 4.6640037330744395)	(5.0, 3.818024250725125)	(6.0, 3.1089882249550036)	(7.0, 2.5309113203815286)	(8.0, 2.191145116127923)	(9.0, 1.9314791220209033)	('>10', 21.74366661353375)	('>50', 5.03554962363895)	('>100', 6.582193067265867)	('>500', 1.8811747886522159)	('>1k', 3.566391596054496)	('>5k', 0.7300150432155983)	('>10k+', 0.7615965746407364)
SRR5364318_2	(1.0, 26.075303618418854)	(2.0, 12.35019706530547)	(3.0, 7.648159383019269)	(4.0, 5.5501206202938445)	(5.0, 4.230212216140892)	(6.0, 3.324511197725255)	(7.0, 2.734045655138973)	(8.0, 2.2305270561182833)	(9.0, 1.9442043227854195)	('>10', 18.813286151045414)	('>50', 3.6790549080752273)	('>100', 5.052100545596209)	('>500', 1.820269741128772)	('>1k', 3.603240102120832)	('>5k', 0.8110849972137254)	('>10k+', 0.13368241987350005)
SRR5364334_1	(1.0, 20.362083176352133)	(2.0, 9.471652367170703)	(3.0, 5.89180508406512)	(4.0, 4.392108066745162)	(5.0, 3.451853500974822)	(6.0, 2.784899229769916)	(7.0, 2.503205529451149)	(8.0, 2.0834770701498213)	(9.0, 1.7769395883364663)	('>10', 22.260251415135446)	('>50', 5.911362405156654)	('>100', 8.793644037650564)	('>500', 2.7128738314008043)	('>1k', 5.4991797852478514)	('>5k', 1.0668926428716248)	('>10k+', 1.037772269521898)
SRR5364334_2	(1.0, 22.651723250859867)	(2.0, 11.12269885386694)	(3.0, 6.963308484478292)	(4.0, 5.2039228720070225)	(5.0, 3.8137071401668408)	(6.0, 3.1503647568022077)	(7.0, 2.5187931393730385)	(8.0, 2.1124739089057782)	(9.0, 1.9486850653006673)	('>10', 19.844342514288822)	('>50', 4.477026652709439)	('>100', 7.123462409942599)	('>500', 2.675317571226246)	('>1k', 5.15415540776653)	('>5k', 0.9379093957819017)	('>10k+', 0.30210857652394724)
SRR5364335_1	(1.0, 22.593285845870085)	(2.0, 9.990286220696413)	(3.0, 6.04413747253102)	(4.0, 4.446401921390197)	(5.0, 3.5146697579941635)	(6.0, 2.9286759697872786)	(7.0, 2.372025283273941)	(8.0, 2.1384054949278566)	(9.0, 1.7654135155527693)	('>10', 21.06901983058459)	('>50', 5.421219202308456)	('>100', 8.069856143870997)	('>500', 2.6276008515014015)	('>1k', 5.302841996175061)	('>5k', 0.9613948249399253)	('>10k+', 0.7547656685957417)
