"","sample_1","sample_2","sample_3","sample_4","sample_5","sample_6","sample_7","sample_8"
"ENSMUSG00000000001",2051.8330903473,2530.74195531942,2394.95864083764,2308.28217543519,2280.69868992099,2421.78325781393,2076.65292810379,2524.73677486515
"ENSMUSG00000000028",158.004354474666,114.660139547883,126.836718040288,138.700655440379,102.581302931472,103.804841409798,92.2408584351802,93.910848058391
"ENSMUSG00000000037",16.8468808296492,26.6281677153182,89.8683867995753,28.7053881898256,71.9845370120396,113.056645654471,73.4137695582651,63.9927723971675
"ENSMUSG00000000049",18.6821856833032,10.3229106514564,18.0005878240261,7.2866649056088,23.8835092798135,16.8900518160389,18.4511545497709,10.1455364227372
"ENSMUSG00000000056",3865.68766049767,3984.40248339518,3983.01156957934,3596.61807696996,2249.98517675803,2351.80300713852,2199.64756120649,1933.87582818115
"ENSMUSG00000000058",832.344462014436,1057.258375763,873.099809728994,1080.99959399162,2057.06608351017,2063.07911471452,1928.67778082931,2181.06735522218
"ENSMUSG00000000078",1680.12911684406,1793.40661190893,1633.10363774115,1713.33171032622,1603.40253193312,1386.57038164054,1504.24303257079,1351.67620440716
"ENSMUSG00000000085",1648.60693011784,1610.28867194217,1749.76760575397,1512.89154961465,1082.42866883118,1202.67444024585,1203.36787601216,1182.62155243868
"ENSMUSG00000000088",5264.28373384863,5007.40777202304,5179.76261810596,5060.96537724258,6397.82663621326,6066.04384857779,5581.89810912215,5461.05575354056
"ENSMUSG00000000093",75.2475600343179,36.0722218865326,57.0748312487799,62.4574549733672,62.0387421352108,57.2090739270587,97.2246430334419,62.5460355055308
"ENSMUSG00000000120",263.706928630335,163.383990449938,132.990565800471,134.380718674581,68.0735792144631,87.8704255731205,109.631751339133,119.724352351313
"ENSMUSG00000000125",791.50469232147,587.085260882027,581.259048221273,587.784828411129,546.384597282936,705.317874232508,564.09169483243,524.572145872134
"ENSMUSG00000000126",61.4648769878433,61.9781135335206,39.5363480146966,51.3032176065233,57.5725667835661,67.785670028539,64.1419969695883,73.7504611844765
"ENSMUSG00000000127",528.42200801024,900.342940608558,897.574296896873,867.972448496236,509.420659824133,538.239501357239,573.866542299865,529.509270033412
"ENSMUSG00000000131",3943.66920696435,3145.36842288012,3017.64826662878,3136.88583040711,3883.4499670896,4039.59368504904,3523.22911746875,4098.55225741889
"ENSMUSG00000000134",1638.03533084159,1514.70161720764,1293.50338231224,1505.08286132054,1423.45203060443,1428.92175168227,1367.66834994337,1412.32902486294
"ENSMUSG00000000142",893.647163122522,953.476090685495,782.055760526366,780.361576457261,636.576070538111,656.49138557055,650.562829818854,778.243766133853
"ENSMUSG00000000148",839.121622885631,677.122468087597,746.811017569703,711.635444409764,710.315734562473,816.711403828523,751.942516886396,818.28507546168
"ENSMUSG00000000149",2921.97840992436,3414.67269799861,3604.35860313689,3256.77196442768,9909.93584440629,10870.1282094984,8091.2332662198,10546.8163128737
"ENSMUSG00000000154",49.7717141703719,18.4006785702091,14.0006244468423,19.3613817970966,25.6445956185347,23.9153351670495,18.8272818472323,27.8162194288735
"ENSMUSG00000000159",17.8728703571404,17.1760733166969,24.7139687459136,35.9554611327024,17.8698052602486,17.6513234129227,13.7896794055608,13.6654761610214
"ENSMUSG00000000167",46.7833129537973,76.9201530305608,30.7776704383752,51.7380108471302,64.3792354423182,68.6437057396066,61.840877040043,72.9594607780342
"ENSMUSG00000000168",4867.57651197734,5130.11869179158,4234.53785085554,4562.04512882606,4361.9181758121,4297.30860379464,4765.40593505467,4086.11349137482
"ENSMUSG00000000171",3575.48923757429,3462.93390089232,3827.14100208801,3981.21911796948,3245.38316549745,3181.47886397723,2982.39928433017,2977.37740352325
"ENSMUSG00000000182",19.2360951291557,9.59457746577988,15.8256138563432,17.1246418079236,11.6351013113052,9.342275781649,7.67461322629108,7.83493573550869
"ENSMUSG00000000184",367.531445664098,527.621784727915,507.054107574125,527.088565612399,1464.75269087435,1824.08921719391,1436.76188988208,1953.91920611613
"ENSMUSG00000000194",2323.60102880111,2664.47396333729,2422.56305005181,2298.43423050819,2263.34630609836,2014.71716839056,2295.43570181585,2105.51813168231
"ENSMUSG00000000197",3797.76792470367,4340.93992247013,4235.72673042911,4567.28653031103,3956.86100630777,3537.8468904434,4740.41849322021,3556.39210837345
"ENSMUSG00000000202",645.194765549414,947.107097102628,912.019648823922,796.298283161886,604.374013467316,779.938824848534,636.460657002696,596.748178621189
